FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1,0.958,0.979,0.941,1,0.97
2,100,50000,40,0.999,1,0.999,1,1,1
1,50,200,20,0.667,0.5,0.571,0.946,0.972,0.959
1,20,10000,10,0.99,1,0.995,1,0.999,0.999
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0.998,1,0.999,1,0.999,0.999
1,500,500,40,1,1,1,1,1,1
2,20,10000,40,0.997,0.999,0.998,0.999,0.998,0.999
2,1000,10000,30,0,0,0,0.683,1,0.812
2,1000,50000,40,0,0,0,0.605,1,0.754
2,100,5000,30,0.994,1,0.997,1,0.997,0.998
2,50,500,50,1,1,1,1,1,1
2,500,5000,50,0.996,0.998,0.997,0.998,0.996,0.997
2,500,200,30,0.875,0.875,0.875,0.969,0.969,0.969
2,20,5000,40,0.995,1,0.998,1,0.997,0.998
1,100,10000,10,0.994,1,0.997,1,0.999,1
1,500,200,50,0.92,1,0.958,1,0.882,0.938
2,50,200,5,0,0,0,0.975,1,0.987
1,500,200,20,1,1,1,1,1,1
2,500,50000,40,0.995,1,0.998,1,0.997,0.998
1,500,1000,5,0.154,1,0.267,1,0.825,0.904
1,20,500,30,0.957,1,0.978,1,0.987,0.994
2,1000,50000,30,0.99,1,0.995,1,0.996,0.998
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,0.999,0.999,0.999,0.999,0.999,0.999
2,500,50000,5,0.99,1,0.995,1,0.999,1
1,1000,500,5,0,0,0,0.94,1,0.969
1,1000,10000,5,0.883,1,0.938,1,0.993,0.997
2,100,5000,50,0.983,1,0.992,1,0.985,0.992
1,1000,500,20,0,0,0,0.83,1,0.907
2,20,50000,5,0.998,1,0.999,1,1,1
1,100,5000,40,0.998,1,0.999,1,0.998,0.999
2,500,1000,5,0.444,0.8,0.571,0.989,0.946,0.967
2,20,10000,20,0.98,1,0.99,1,0.995,0.998
2,1000,5000,30,0,0,0,0.73,1,0.844
1,100,50000,20,0.996,1,0.998,1,0.999,1
1,100,50000,10,1,1,1,1,1,1
1,50,10000,50,0.999,1,0.999,1,0.999,1
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.979,1,0.99,1,0.999,0.999
1,1000,5000,40,0.995,1,0.997,1,0.997,0.998
1,20,10000,5,0.988,0.988,0.988,0.999,0.999,0.999
1,100,500,5,1,0.5,0.667,0.98,1,0.99
2,50,1000,20,1,1,1,1,1,1
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,1,1,1,1,1,1
2,500,500,5,0.714,1,0.833,1,0.979,0.989
2,20,50000,20,0.999,1,0.999,1,1,1
1,1000,1000,50,0.752,0.792,0.772,0.787,0.747,0.767
1,1000,200,40,0.8,0.364,0.5,0.8,0.966,0.875
1,500,500,10,1,0.833,0.909,0.978,1,0.989
1,500,5000,5,1,1,1,1,1,1
1,20,200,5,1,0.5,0.667,0.974,1,0.987
1,50,1000,30,0.963,1,0.981,1,0.984,0.992
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,1,0.889,0.941,0.989,1,0.995
1,1000,5000,30,0.989,1,0.995,1,0.996,0.998
1,100,200,40,0.933,1,0.966,1,0.962,0.98
2,20,10000,50,0.998,1,0.999,1,0.998,0.999
2,100,200,50,0.8,1,0.889,1,0.625,0.769
2,100,50000,30,0.997,1,0.999,1,0.999,0.999
1,50,1000,50,0.956,1,0.978,1,0.945,0.972
1,500,200,10,0.8,1,0.889,1,0.972,0.986
2,50,1000,40,0.989,1,0.994,1,0.991,0.996
2,50,1000,5,0.9,0.9,0.9,0.994,0.994,0.994
2,20,500,40,0.941,0.914,0.928,0.946,0.964,0.955
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,0.906,1,0.951,1,0.958,0.978
1,20,10000,30,1,1,1,1,1,1
1,20,50000,30,1,1,1,1,1,1
2,20,200,30,0.882,1,0.938,1,0.92,0.958
1,1000,10000,50,0.997,1,0.999,1,0.997,0.998
2,100,50000,50,0.998,1,0.999,1,0.998,0.999
1,1000,50000,20,0,0,0,0.801,1,0.89
1,100,200,30,0,0,0,0.625,1,0.769
2,50,50000,50,0.999,1,1,1,0.999,1
1,100,5000,10,0.966,1,0.983,1,0.995,0.998
1,1000,500,40,0.978,1,0.989,1,0.982,0.991
1,1000,200,50,0.842,1,0.914,1,0.875,0.933
2,500,10000,20,0.975,1,0.987,1,0.993,0.997
1,100,5000,30,0.99,0.997,0.993,0.999,0.996,0.997
2,1000,200,10,0,0,0,0.917,0.892,0.904
2,1000,1000,40,0.88,0.936,0.907,0.955,0.915,0.934
2,100,1000,30,1,1,1,1,1,1
1,500,5000,50,0.996,1,0.998,1,0.996,0.998
2,1000,50000,10,0.998,0.998,0.998,1,1,1
2,50,200,40,0.933,1,0.966,1,0.962,0.98
2,100,1000,10,0.875,1,0.933,1,0.988,0.994
2,50,1000,30,1,0.953,0.976,0.986,1,0.993
1,1000,10000,10,0,0,0,0.902,1,0.949
2,1000,200,5,1,0.5,0.667,0.974,1,0.987
1,500,500,30,1,1,1,1,1,1
2,20,500,10,0.684,0.929,0.788,0.988,0.93,0.958
1,20,500,5,1,0.75,0.857,0.99,1,0.995
2,50,1000,10,0.947,0.947,0.947,0.994,0.994,0.994
1,1000,5000,50,0.996,1,0.998,1,0.996,0.998
2,50,200,10,0.333,0.167,0.222,0.865,0.941,0.901
1,100,50000,5,0.988,1,0.994,1,0.999,1
