FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.95,0.95,0.95,0.95,0.95,0.95
2,100,50000,40,1.0,0.999,0.999,0.999,1.0,1.0
1,50,200,20,0.35,1.0,0.519,1.0,0.606,0.755
1,20,10000,10,0.979,1.0,0.989,1.0,0.998,0.999
1,20,5000,20,0.95,1.0,0.974,1.0,0.989,0.994
1,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,500,40,0.884,1.0,0.938,1.0,0.919,0.958
2,20,10000,40,0.995,0.998,0.996,0.998,0.997,0.997
2,1000,10000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,50000,40,0.996,1.0,0.998,1.0,0.997,0.999
2,100,5000,30,0.997,0.997,0.997,0.998,0.998,0.998
2,50,500,50,0.8,0.9,0.847,0.911,0.82,0.863
2,500,5000,50,0.998,0.998,0.998,0.998,0.998,0.998
2,500,200,30,0.625,0.769,0.69,0.875,0.778,0.824
2,20,5000,40,0.977,0.967,0.972,0.978,0.985,0.982
1,100,10000,10,0.923,1.0,0.96,1.0,0.99,0.995
1,500,200,50,0.789,1.0,0.882,1.0,0.84,0.913
2,50,200,5,0.111,0.5,0.182,0.968,0.789,0.87
1,500,200,20,0.455,1.0,0.625,1.0,0.829,0.906
2,500,50000,40,1.0,0.998,0.999,0.999,1.0,1.0
1,500,1000,5,0.136,0.3,0.187,0.961,0.9,0.929
1,20,500,30,0.711,0.964,0.818,0.984,0.847,0.91
2,1000,50000,30,0.999,1.0,0.999,1.0,0.999,1.0
1,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,10000,50,0.999,0.999,0.999,0.999,0.999,0.999
2,500,50000,5,0.991,0.998,0.995,1.0,1.0,1.0
1,1000,500,5,0.231,1.0,0.375,1.0,0.897,0.946
1,1000,10000,5,0.981,1.0,0.99,1.0,0.999,0.999
2,100,5000,50,1.0,0.998,0.999,0.998,1.0,0.999
1,1000,500,20,0.71,1.0,0.83,1.0,0.885,0.939
2,20,50000,5,0.958,0.998,0.978,1.0,0.998,0.999
1,100,5000,40,0.989,1.0,0.995,1.0,0.994,0.997
2,500,1000,5,0.227,0.417,0.294,0.961,0.91,0.934
2,20,10000,20,0.957,0.988,0.973,0.997,0.99,0.993
2,1000,5000,30,1.0,0.997,0.998,0.999,1.0,0.999
1,100,50000,20,0.998,1.0,0.999,1.0,1.0,1.0
1,100,50000,10,0.999,1.0,0.999,1.0,1.0,1.0
1,50,10000,50,0.994,1.0,0.997,1.0,0.994,0.997
1,20,1000,50,0.772,0.978,0.863,0.977,0.764,0.857
1,500,10000,5,0.967,1.0,0.983,1.0,0.998,0.999
1,1000,5000,40,0.982,1.0,0.991,1.0,0.989,0.994
1,20,10000,5,0.943,1.0,0.971,1.0,0.997,0.999
1,100,500,5,0.294,1.0,0.455,1.0,0.874,0.933
2,50,1000,20,0.511,0.6,0.552,0.88,0.836,0.857
2,20,1000,30,0.605,0.86,0.71,0.919,0.74,0.82
2,20,10000,30,1.0,0.989,0.995,0.995,1.0,0.998
2,500,500,5,0.037,0.5,0.069,0.986,0.735,0.842
2,20,50000,20,0.992,0.996,0.994,0.999,0.998,0.999
1,1000,1000,50,0.899,0.748,0.816,0.757,0.903,0.824
1,1000,200,40,0.714,1.0,0.833,1.0,0.6,0.75
1,500,500,10,0.171,0.778,0.28,0.966,0.626,0.76
1,500,5000,5,0.0,0.0,0.0,0.934,1.0,0.966
1,20,200,5,0.0,0.0,0.0,0.906,0.784,0.841
1,50,1000,30,0.471,1.0,0.64,1.0,0.591,0.743
1,50,50000,50,0.999,1.0,1.0,1.0,0.999,1.0
2,50,500,5,0.0,0.0,0.0,0.968,0.938,0.953
1,1000,5000,30,0.946,1.0,0.973,1.0,0.978,0.989
1,100,200,40,0.833,1.0,0.909,1.0,0.88,0.936
2,20,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
2,100,200,50,0.857,0.783,0.818,0.737,0.824,0.778
2,100,50000,30,1.0,0.998,0.999,0.999,1.0,0.999
1,50,1000,50,0.699,0.979,0.816,0.97,0.619,0.756
1,500,200,10,0.8,0.571,0.667,0.914,0.97,0.941
2,50,1000,40,0.934,0.922,0.928,0.952,0.959,0.955
2,50,1000,5,0.104,0.7,0.182,0.973,0.647,0.777
2,20,500,40,0.822,0.841,0.831,0.844,0.826,0.835
1,20,5000,50,0.99,1.0,0.995,1.0,0.99,0.995
2,20,500,30,0.625,0.862,0.725,0.933,0.789,0.855
1,20,10000,30,0.979,1.0,0.989,1.0,0.99,0.995
1,20,50000,30,0.997,1.0,0.999,1.0,0.999,0.999
2,20,200,30,0.619,0.812,0.703,0.842,0.667,0.744
1,1000,10000,50,0.515,1.0,0.68,0.0,0.0,0.0
2,100,50000,50,0.999,1.0,0.999,1.0,0.999,0.999
1,1000,50000,20,0.999,1.0,1.0,1.0,1.0,1.0
1,100,200,30,0.818,0.529,0.643,0.724,0.913,0.808
2,50,50000,50,1.0,0.999,0.999,0.999,1.0,0.999
1,100,5000,10,0.98,1.0,0.99,1.0,0.998,0.999
1,1000,500,40,0.0,0.0,0.0,0.65,1.0,0.788
1,1000,200,50,0.783,1.0,0.878,1.0,0.773,0.872
2,500,10000,20,0.997,0.995,0.996,0.999,0.999,0.999
1,100,5000,30,0.958,1.0,0.979,1.0,0.98,0.99
2,1000,200,10,0.333,0.667,0.444,0.971,0.892,0.93
2,1000,1000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,1000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,500,5000,50,0.515,1.0,0.68,0.0,0.0,0.0
2,1000,50000,10,0.998,0.999,0.999,1.0,1.0,1.0
2,50,200,40,0.45,0.75,0.563,0.85,0.607,0.708
2,100,1000,10,0.268,0.579,0.367,0.942,0.814,0.873
2,50,1000,30,0.904,0.959,0.931,0.984,0.962,0.973
1,1000,10000,10,0.978,1.0,0.989,1.0,0.998,0.999
2,1000,200,5,0.05,1.0,0.095,0.0,0.0,0.0
1,500,500,30,0.761,1.0,0.864,1.0,0.831,0.908
2,20,500,10,0.375,0.375,0.375,0.946,0.946,0.946
1,20,500,5,0.333,1.0,0.5,1.0,0.959,0.979
2,50,1000,10,0.089,1.0,0.163,0.0,0.0,0.0
1,1000,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,50,200,10,0.2,0.5,0.286,0.933,0.778,0.848
1,100,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,20,200,20,0.357,0.714,0.476,0.923,0.727,0.814
1,500,1000,40,0.0,0.0,0.0,0.615,1.0,0.762
1,500,5000,30,0.956,1.0,0.978,1.0,0.98,0.99
2,500,500,40,1.0,0.974,0.987,0.984,1.0,0.992
1,50,5000,5,0.857,1.0,0.923,1.0,0.992,0.996
1,50,200,5,0.333,0.333,0.333,0.946,0.946,0.946
2,1000,200,30,0.583,0.583,0.583,0.821,0.821,0.821
2,100,1000,5,0.089,0.636,0.156,0.96,0.574,0.719
1,20,1000,40,0.928,0.963,0.945,0.974,0.95,0.962
2,1000,5000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,1000,10,0.181,0.714,0.288,0.949,0.62,0.75
2,500,200,5,0.0,0.0,0.0,0.833,0.714,0.769
2,1000,500,40,0.977,0.977,0.977,0.982,0.982,0.982
2,100,50000,10,0.996,0.997,0.996,1.0,1.0,1.0
2,20,200,40,0.55,0.688,0.611,0.75,0.625,0.682
2,100,200,20,0.0,0.0,0.0,0.897,0.972,0.933
1,20,10000,20,0.985,1.0,0.992,1.0,0.996,0.998
1,20,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,500,5000,10,1.0,0.981,0.99,0.998,1.0,0.999
2,100,200,30,0.667,0.615,0.64,0.821,0.852,0.836
2,50,50000,10,0.994,1.0,0.997,1.0,0.999,1.0
2,20,10000,10,0.826,1.0,0.904,1.0,0.974,0.987
1,1000,50000,5,1.0,1.0,1.0,1.0,1.0,1.0
2,500,10000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,5000,10,0.98,1.0,0.99,1.0,0.998,0.999
1,20,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,500,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,20,1000,5,0.5,1.0,0.667,1.0,0.953,0.976
1,50,50000,5,0.995,1.0,0.998,1.0,1.0,1.0
2,500,1000,20,1.0,0.907,0.951,0.975,1.0,0.987
1,1000,200,20,0.462,1.0,0.632,1.0,0.5,0.667
2,50,10000,30,1.0,0.998,0.999,0.999,1.0,1.0
1,50,200,10,0.083,1.0,0.154,1.0,0.718,0.836
1,1000,1000,40,0.566,1.0,0.722,1.0,0.466,0.636
1,50,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,500,5000,10,0.878,1.0,0.935,1.0,0.983,0.992
2,500,200,20,0.286,0.333,0.308,0.879,0.853,0.866
2,100,500,30,0.656,0.75,0.7,0.897,0.847,0.871
1,1000,200,5,1.0,0.333,0.5,0.949,1.0,0.974
2,1000,1000,10,1.0,0.789,0.882,0.978,1.0,0.989
1,50,500,10,0.556,1.0,0.714,1.0,0.911,0.953
2,100,500,40,0.95,0.95,0.95,0.96,0.96,0.96
1,100,50000,50,0.999,1.0,1.0,1.0,0.999,1.0
1,50,10000,10,0.989,1.0,0.994,1.0,0.999,0.999
1,20,50000,10,0.997,1.0,0.998,1.0,1.0,1.0
2,20,50000,30,0.996,1.0,0.998,1.0,0.998,0.999
2,50,10000,10,0.994,1.0,0.997,1.0,0.999,1.0
2,50,200,30,0.643,0.692,0.667,0.846,0.815,0.83
2,100,10000,40,0.997,0.999,0.998,0.999,0.998,0.999
2,20,5000,5,0.871,0.871,0.871,0.99,0.99,0.99
2,500,200,10,0.667,0.667,0.667,0.941,0.941,0.941
2,50,5000,30,0.997,0.993,0.995,0.997,0.998,0.998
1,1000,50000,30,0.0,0.0,0.0,0.701,1.0,0.824
1,500,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,10000,5,0.926,0.956,0.941,0.998,0.996,0.997
2,100,1000,50,0.981,1.0,0.99,1.0,0.979,0.989
1,1000,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,50,5000,50,0.996,1.0,0.998,1.0,0.996,0.998
2,500,10000,50,0.999,1.0,1.0,1.0,0.999,0.999
1,50,500,20,0.643,0.9,0.75,0.972,0.875,0.921
1,50,5000,30,0.994,1.0,0.997,1.0,0.997,0.998
1,500,1000,30,0.27,1.0,0.425,0.0,0.0,0.0
1,100,500,30,0.686,1.0,0.814,1.0,0.855,0.922
2,1000,10000,5,1.0,1.0,1.0,1.0,1.0,1.0
1,100,500,50,0.833,1.0,0.909,1.0,0.84,0.913
1,20,1000,30,0.847,1.0,0.917,1.0,0.931,0.964
