FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.276,0.421,0.333,0,0,0
2,100,50000,40,0.997,1,0.998,1,0.998,0.999
1,50,200,20,1,0.875,0.933,0.97,1,0.985
1,20,10000,10,0.995,1,0.997,1,0.999,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,1,1,1,1,1,1
1,500,500,40,0,0,0,0.61,1,0.758
2,20,10000,40,0.996,0.999,0.997,0.999,0.997,0.998
2,1000,10000,30,0.998,1,0.999,1,0.999,1
2,1000,50000,40,0.998,1,0.999,1,0.999,1
2,100,5000,30,0.982,1,0.991,1,0.993,0.996
2,50,500,50,0.922,1,0.959,1,0.907,0.951
2,500,5000,50,0.998,1,0.999,1,0.998,0.999
2,500,200,30,0.727,0.889,0.8,0.966,0.903,0.933
2,20,5000,40,1,0.997,0.999,0.998,1,0.999
1,100,10000,10,0.94,1,0.969,1,0.993,0.997
1,500,200,50,0,0,0,0.4,1,0.571
1,500,200,20,0,0,0,0.75,1,0.857
2,500,50000,40,1,1,1,1,1,1
1,500,1000,5,0.381,0.889,0.533,0.994,0.93,0.961
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,0.998,1,0.999,1,0.999,1
1,100,50000,40,0.999,1,1,1,0.999,1
2,100,10000,50,1,0.995,0.998,0.995,1,0.997
2,500,50000,5,0,0,0,0.95,1,0.974
1,1000,500,5,0,0,0,0.96,1,0.98
1,1000,10000,5,0,0,0,0.948,1,0.973
2,100,5000,50,1,1,1,1,1,1
1,1000,500,20,0.85,1,0.919,1,0.964,0.982
2,20,50000,5,0.953,1,0.976,1,0.998,0.999
1,100,5000,40,0.992,1,0.996,1,0.995,0.997
2,500,1000,5,0,0,0,0.959,1,0.979
2,20,10000,20,0.995,0.997,0.996,0.999,0.999,0.999
2,1000,5000,30,0.997,1,0.998,1,0.999,0.999
1,100,50000,20,0.997,1,0.999,1,0.999,1
1,100,50000,10,0.989,1,0.994,1,0.999,0.999
1,50,10000,50,0.999,1,0.999,1,0.999,0.999
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.99,1,0.995,1,0.999,1
1,1000,5000,40,0,0,0,0.588,1,0.741
1,20,10000,5,0.99,1,0.995,1,0.999,1
1,100,500,5,0.667,1,0.8,1,0.968,0.984
2,50,1000,20,1,1,1,1,1,1
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,0.989,1,0.995,1,0.995,0.998
2,500,500,5,1,0.8,0.889,0.99,1,0.995
2,20,50000,20,0.999,0.999,0.999,1,1,1
1,1000,1000,50,0.959,0.94,0.949,0.938,0.958,0.948
1,1000,200,40,0.81,1,0.895,1,0.826,0.905
1,500,500,10,1,1,1,1,1,1
1,500,5000,5,1,0.977,0.988,0.999,1,0.999
1,20,200,5,1,1,1,1,1,1
1,50,1000,30,0.965,1,0.982,1,0.984,0.992
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,0.75,1,0.857,1,0.979,0.989
1,1000,5000,30,0,0,0,0.711,1,0.831
1,100,200,40,0.72,0.947,0.818,0.933,0.667,0.778
2,20,10000,50,0.995,0.999,0.997,0.999,0.995,0.997
2,100,200,50,0.818,0.857,0.837,0.833,0.789,0.811
2,100,50000,30,0.994,1,0.997,1,0.998,0.999
1,50,1000,50,1,1,1,1,1,1
1,500,200,10,0.15,1,0.261,0,0,0
2,50,1000,40,0.957,1,0.978,1,0.964,0.981
2,50,1000,5,0.857,0.75,0.8,0.988,0.994,0.991
2,20,500,40,1,1,1,1,1,1
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,1,1,1,1,1,1
1,20,50000,30,0.998,1,0.999,1,0.999,1
2,20,200,30,0.947,1,0.973,1,0.955,0.977
1,1000,10000,50,0.482,1,0.651,0,0,0
2,100,50000,50,0.999,1,0.999,1,0.999,0.999
1,1000,50000,20,0.999,1,1,1,1,1
1,100,200,30,0.789,0.938,0.857,0.952,0.833,0.889
2,50,50000,50,0.997,1,0.998,1,0.997,0.998
1,100,5000,10,1,1,1,1,1,1
1,1000,500,40,0.894,0.977,0.933,0.981,0.912,0.945
1,1000,200,50,0.609,0.933,0.737,0.941,0.64,0.762
2,500,10000,20,0.995,1,0.997,1,0.999,0.999
1,100,5000,30,0.997,1,0.998,1,0.998,0.999
2,1000,200,10,1,0.4,0.571,0.921,1,0.959
2,1000,1000,40,0,0,0,0.574,1,0.73
2,100,1000,30,0.933,0.596,0.727,0.873,0.985,0.926
1,500,5000,50,0.996,1,0.998,1,0.996,0.998
2,1000,50000,10,0.992,1,0.996,1,0.999,1
2,50,200,40,0.895,0.944,0.919,0.952,0.909,0.93
2,100,1000,10,1,0.95,0.974,0.994,1,0.997
2,50,1000,30,0.929,1,0.963,1,0.969,0.984
1,1000,10000,10,0.995,1,0.998,1,0.999,1
2,1000,200,5,0.667,0.667,0.667,0.973,0.973,0.973
1,500,500,30,0.33,1,0.496,0,0,0
2,20,500,10,0.75,0.923,0.828,0.988,0.954,0.971
1,20,500,5,1,1,1,1,1,1
2,50,1000,10,0.938,1,0.968,1,0.994,0.997
1,1000,5000,50,0.996,1,0.998,1,0.996,0.998
2,50,200,10,0.8,0.8,0.8,0.971,0.971,0.971
1,100,50000,5,0.841,1,0.914,1,0.989,0.995
1,20,200,20,1,0.833,0.909,0.971,1,0.986
1,500,1000,40,0.878,1,0.935,1,0.905,0.95
1,500,5000,30,0.993,1,0.997,1,0.997,0.999
2,500,500,40,0.8,0.936,0.863,0.933,0.792,0.857
1,50,5000,5,0.982,1,0.991,1,0.999,0.999
1,50,200,5,0.333,0.5,0.4,0.973,0.947,0.96
2,1000,200,30,0.706,1,0.828,1,0.821,0.902
2,100,1000,5,1,1,1,1,1,1
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,0.958,0.989,0.974,0.999,0.996,0.997
1,1000,1000,10,0.092,1,0.169,0,0,0
2,500,200,5,1,1,1,1,1,1
2,1000,500,40,0.917,0.892,0.904,0.938,0.952,0.945
2,100,50000,10,0.995,0.999,0.997,1,0.999,1
2,20,200,40,0.923,0.923,0.923,0.963,0.963,0.963
2,100,200,20,1,1,1,1,1,1
1,20,10000,20,0.995,1,0.997,1,0.999,0.999
1,20,50000,40,0.998,1,0.999,1,0.999,0.999
2,500,5000,10,0.139,1,0.243,1,0.407,0.579
2,100,200,30,0.75,0.9,0.818,0.964,0.9,0.931
2,50,50000,10,0.989,0.999,0.994,1,0.999,0.999
2,20,10000,10,0.932,0.995,0.963,0.999,0.99,0.995
1,1000,50000,5,0.052,1,0.098,0,0,0
2,500,10000,40,0.997,1,0.999,1,0.998,0.999
1,1000,5000,10,0.99,1,0.995,1,0.999,0.999
1,20,50000,50,0.994,1,0.997,1,0.994,0.997
1,500,10000,50,1,1,1,1,1,1
1,20,1000,5,1,1,1,1,1,1
1,50,50000,5,0.903,1,0.949,1,0.994,0.997
2,500,1000,20,0.7,0.488,0.575,0.867,0.941,0.902
1,1000,200,20,0.857,0.857,0.857,0.923,0.923,0.923
2,50,10000,30,0.992,0.994,0.993,0.998,0.997,0.997
1,50,200,10,1,0.5,0.667,0.974,1,0.987
1,1000,1000,40,0,0,0,0.605,1,0.754
1,50,50000,30,0.998,1,0.999,1,0.999,1
1,500,5000,10,0,0,0,0.9,1,0.947
2,500,200,20,1,0.7,0.824,0.909,1,0.952
2,100,500,30,0.661,1,0.796,1,0.698,0.822
1,1000,200,5,0.222,0.667,0.333,0.968,0.811,0.882
2,1000,1000,10,0,0,0,0.933,1,0.966
1,50,500,10,0.889,0.889,0.889,0.989,0.989,0.989
2,100,500,40,1,0.857,0.923,0.917,1,0.957
1,100,50000,50,0.999,1,0.999,1,0.999,0.999
1,50,10000,10,0.984,1,0.992,1,0.998,0.999
1,20,50000,10,0.999,1,1,1,1,1
2,20,50000,30,0.999,1,0.999,1,0.999,1
2,50,10000,10,0.974,1,0.987,1,0.997,0.998
2,50,200,30,0.857,1,0.923,1,0.929,0.963
2,100,10000,40,0.995,1,0.997,1,0.997,0.998
2,20,5000,5,1,1,1,1,1,1
2,500,200,10,0.081,1,0.15,1,0.081,0.15
2,50,5000,30,0.991,1,0.995,1,0.995,0.998
1,1000,50000,30,1,1,1,1,1,1
1,500,50000,40,0.999,1,0.999,1,0.999,1
2,100,10000,5,0.989,0.949,0.969,0.997,0.999,0.998
2,100,1000,50,0.98,0.99,0.985,0.99,0.98,0.985
1,1000,50000,50,0,0,0,0.507,1,0.673
1,50,5000,50,1,1,1,1,1,1
2,500,10000,50,1,0.993,0.996,0.993,1,0.997
1,50,500,20,0.731,1,0.844,1,0.914,0.955
1,50,5000,30,0.99,1,0.995,1,0.995,0.998
1,500,1000,30,0.795,1,0.886,1,0.856,0.922
1,100,500,30,0.875,1,0.933,1,0.923,0.96
2,1000,10000,5,0,0,0,0.951,1,0.975
1,100,500,50,0.939,1,0.968,1,0.932,0.965
1,20,1000,30,0.983,1,0.991,1,0.992,0.996
2,50,5000,10,0.974,0.991,0.983,0.999,0.996,0.998
1,100,1000,10,0.762,0.889,0.821,0.987,0.969,0.978
1,50,5000,10,0.966,1,0.983,1,0.995,0.998
2,100,1000,40,1,1,1,1,1,1
1,100,10000,50,0.998,1,0.999,1,0.998,0.999
2,50,50000,30,0.999,0.999,0.999,1,1,1
2,20,5000,10,1,1,1,1,1,1
1,50,1000,20,1,1,1,1,1,1
1,500,50000,5,0.998,1,0.999,1,1,1
