FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1,0.95,0.974,0.952,1,0.976
2,100,50000,40,1,1,1,1,1,1
1,50,200,20,1,1,1,1,1,1
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,1,1,1,1,1,1
1,500,500,40,1,1,1,1,1,1
2,20,10000,40,0.998,0.995,0.996,0.997,0.998,0.997
2,1000,10000,30,0.997,0.982,0.989,0.992,0.999,0.995
2,1000,50000,40,1,0.998,0.999,0.999,1,1
2,100,5000,30,1,1,1,1,1,1
2,50,500,50,1,1,1,1,1,1
2,500,5000,50,0.998,1,0.999,1,0.998,0.999
2,500,200,30,1,0.769,0.87,0.9,1,0.947
2,20,5000,40,0.997,0.995,0.996,0.997,0.998,0.997
1,100,10000,10,1,1,1,1,1,1
1,500,200,50,1,1,1,1,1,1
2,50,200,5,1,0.5,0.667,0.974,1,0.987
1,500,200,20,0.714,1,0.833,1,0.943,0.971
2,500,50000,40,1,0.976,0.988,0.984,1,0.992
1,500,1000,5,1,1,1,1,1,1
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,0.999,0.999,0.999,1,1,1
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,0.998,0.999,0.998,0.999,0.998,0.998
2,500,50000,5,0.983,0.998,0.99,1,0.999,1
1,1000,500,5,1,1,1,1,1,1
1,1000,10000,5,1,1,1,1,1,1
2,100,5000,50,1,0.994,0.997,0.994,1,0.997
1,1000,500,20,0.957,1,0.978,1,0.987,0.994
2,20,50000,5,0.994,0.998,0.996,1,1,1
1,100,5000,40,0.997,1,0.999,1,0.998,0.999
2,500,1000,5,1,1,1,1,1,1
2,20,10000,20,0.988,0.997,0.993,0.999,0.997,0.998
2,1000,5000,30,1,0.997,0.998,0.999,1,0.999
1,100,50000,20,1,1,1,1,1,1
1,100,50000,10,1,1,1,1,1,1
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.989,1,0.994,1,0.999,1
1,1000,5000,40,0.997,1,0.999,1,0.998,0.999
1,20,10000,5,0.988,1,0.994,1,0.999,1
1,100,500,5,1,1,1,1,1,1
2,50,1000,20,0.976,1,0.988,1,0.993,0.996
2,20,1000,30,0.982,0.982,0.982,0.992,0.992,0.992
2,20,10000,30,0.996,1,0.998,1,0.998,0.999
2,500,500,5,0.133,1,0.235,1,0.867,0.929
2,20,50000,20,0.999,1,0.999,1,1,1
1,1000,1000,50,1,1,1,1,1,1
1,1000,200,40,1,1,1,1,1,1
1,500,500,10,1,1,1,1,1,1
1,500,5000,5,1,1,1,1,1,1
1,20,200,5,0.333,0.333,0.333,0.946,0.946,0.946
1,50,1000,30,1,1,1,1,1,1
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,0,0,0,0.97,1,0.985
1,1000,5000,30,0.996,1,0.998,1,0.999,0.999
1,100,200,40,1,1,1,1,1,1
2,20,10000,50,1,1,1,1,1,1
2,100,200,50,0.958,1,0.979,1,0.941,0.97
2,100,50000,30,0.998,0.999,0.999,1,0.999,0.999
1,50,1000,50,1,1,1,1,1,1
1,500,200,10,0.857,0.857,0.857,0.97,0.97,0.97
2,50,1000,40,0.974,0.987,0.981,0.992,0.984,0.988
2,50,1000,5,0.583,0.7,0.636,0.982,0.971,0.976
2,20,500,40,0.915,0.977,0.945,0.977,0.913,0.944
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,0.906,1,0.951,1,0.958,0.978
1,20,10000,30,0.998,1,0.999,1,0.999,1
1,20,50000,30,1,1,1,1,1,1
2,20,200,30,0.938,0.938,0.938,0.958,0.958,0.958
1,1000,10000,50,1,1,1,1,1,1
2,100,50000,50,1,1,1,1,1,1
1,1000,50000,20,0.999,1,0.999,1,1,1
1,100,200,30,0.938,0.882,0.909,0.917,0.957,0.936
2,50,50000,50,0.999,1,1,1,0.999,1
1,100,5000,10,0.99,1,0.995,1,0.999,0.999
1,1000,500,40,1,1,1,1,1,1
1,1000,200,50,0.9,1,0.947,1,0.909,0.952
2,500,10000,20,0.99,0.997,0.993,0.999,0.998,0.998
1,100,5000,30,0.997,1,0.998,1,0.998,0.999
2,1000,200,10,0.75,1,0.857,1,0.973,0.986
2,1000,1000,40,1,1,1,1,1,1
2,100,1000,30,0.98,0.962,0.971,0.984,0.992,0.988
1,500,5000,50,1,1,1,1,1,1
2,1000,50000,10,0.996,0.999,0.998,1,1,1
2,50,200,40,0.583,0.583,0.583,0.821,0.821,0.821
2,100,1000,10,1,0.842,0.914,0.982,1,0.991
2,50,1000,30,1,0.959,0.979,0.985,1,0.992
1,1000,10000,10,1,1,1,1,1,1
2,1000,200,5,0,0,0,0.949,0.974,0.961
1,500,500,30,1,1,1,1,1,1
2,20,500,10,1,0.625,0.769,0.968,1,0.984
1,20,500,5,1,1,1,1,1,1
2,50,1000,10,1,0.875,0.933,0.988,1,0.994
1,1000,5000,50,1,1,1,1,1,1
2,50,200,10,0.429,0.75,0.545,0.97,0.889,0.928
1,100,50000,5,1,1,1,1,1,1
1,20,200,20,0.833,0.714,0.769,0.941,0.97,0.955
1,500,1000,40,0.884,1,0.938,1,0.916,0.956
1,500,5000,30,1,1,1,1,1,1
2,500,500,40,0.927,0.974,0.95,0.983,0.951,0.967
1,50,5000,5,1,1,1,1,1,1
1,50,200,5,1,0.333,0.5,0.949,1,0.974
2,1000,200,30,0.833,0.833,0.833,0.929,0.929,0.929
2,100,1000,5,0.714,0.455,0.556,0.965,0.988,0.977
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,0.979,0.989,0.984,0.999,0.998,0.998
1,1000,1000,10,0.955,1,0.977,1,0.994,0.997
2,500,200,5,0,0,0,0.875,1,0.933
2,1000,500,40,0.933,0.977,0.955,0.982,0.947,0.964
2,100,50000,10,0.982,0.997,0.99,1,0.998,0.999
2,20,200,40,0.933,0.875,0.903,0.92,0.958,0.939
2,100,200,20,0.4,0.5,0.444,0.943,0.917,0.93
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,1,0.961,0.98,0.996,1,0.998
2,100,200,30,0.684,1,0.813,1,0.778,0.875
2,50,50000,10,0.998,0.998,0.998,1,1,1
2,20,10000,10,0.99,1,0.995,1,0.999,0.999
1,1000,50000,5,1,1,1,1,1,1
2,500,10000,40,0.995,0.999,0.997,0.999,0.997,0.998
1,1000,5000,10,1,1,1,1,1,1
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,1,1,1,1,1,1
1,20,1000,5,1,1,1,1,1,1
1,50,50000,5,1,1,1,1,1,1
2,500,1000,20,0.971,0.868,0.917,0.969,0.994,0.981
1,1000,200,20,1,1,1,1,1,1
2,50,10000,30,1,0.996,0.998,0.998,1,0.999
1,50,200,10,1,0.833,0.909,0.971,1,0.986
1,1000,1000,40,0.976,1,0.988,1,0.982,0.991
1,50,50000,30,1,1,1,1,1,1
1,500,5000,10,0.991,1,0.995,1,0.999,0.999
2,500,200,20,0.667,0.667,0.667,0.941,0.941,0.941
2,100,500,30,0.966,0.824,0.889,0.915,0.985,0.949
1,1000,200,5,1,0.75,0.857,0.973,1,0.986
2,1000,1000,10,1,0.905,0.95,0.989,1,0.994
1,50,500,10,0.909,1,0.952,1,0.989,0.994
2,100,500,40,0.872,1,0.932,1,0.911,0.953
1,100,50000,50,1,1,1,1,1,1
1,50,10000,10,1,1,1,1,1,1
1,20,50000,10,1,1,1,1,1,1
2,20,50000,30,0.999,1,0.999,1,0.999,1
2,50,10000,10,0.994,1,0.997,1,0.999,1
2,50,200,30,0.818,1,0.9,1,0.935,0.967
2,100,10000,40,0.997,0.997,0.997,0.998,0.998,0.998
2,20,5000,5,0.977,0.956,0.966,0.998,0.999,0.998
2,500,200,10,0.5,0.667,0.571,0.938,0.882,0.909
2,50,5000,30,0.993,0.997,0.995,0.999,0.997,0.998
1,1000,50000,30,0.999,1,0.999,1,1,1
1,500,50000,40,0.999,1,1,1,1,1
2,100,10000,5,0.978,0.967,0.973,0.998,0.999,0.999
2,100,1000,50,1,0.971,0.985,0.97,1,0.985
1,1000,50000,50,1,1,1,1,1,1
1,50,5000,50,0.998,1,0.999,1,0.998,0.999
2,500,10000,50,0.994,0.998,0.996,0.998,0.994,0.996
1,50,500,20,1,1,1,1,1,1
1,50,5000,30,1,1,1,1,1,1
1,500,1000,30,0.981,1,0.99,1,0.993,0.996
1,100,500,30,1,1,1,1,1,1
2,1000,10000,5,0.94,0.982,0.961,0.999,0.996,0.998
1,100,500,50,1,1,1,1,1,1
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,1,0.989,0.994,0.999,1,0.999
1,100,1000,10,1,1,1,1,1,1
1,50,5000,10,1,1,1,1,1,1
2,100,1000,40,0.976,0.988,0.982,0.991,0.983,0.987
1,100,10000,50,1,1,1,1,1,1
2,50,50000,30,1,1,1,1,1,1
2,20,5000,10,1,1,1,1,1,1
1,50,1000,20,1,1,1,1,1,1
1,500,50000,5,1,1,1,1,1,1
2,20,10000,5,0.943,0.988,0.965,0.999,0.997,0.998
2,20,500,20,0.87,0.87,0.87,0.961,0.961,0.961
2,20,500,5,1,0.571,0.727,0.969,1,0.984
1,20,1000,20,0.974,1,0.987,1,0.993,0.996
1,1000,1000,5,0.438,1,0.609,1,0.952,0.975
1,100,1000,40,1,1,1,1,1,1
2,50,50000,20,0.999,1,0.999,1,1,1
1,50,1000,5,1,0.875,0.933,0.994,1,0.997
1,500,200,40,1,1,1,1,1,1
2,50,200,50,0.941,0.8,0.865,0.826,0.95,0.884
1,100,500,10,0.875,0.875,0.875,0.989,0.989,0.989
1,50,200,40,1,1,1,1,1,1
2,1000,500,30,0.97,0.941,0.955,0.97,0.985,0.977
2,20,5000,30,0.997,1,0.998,1,0.999,0.999
2,500,50000,50,0.997,0.998,0.998,0.998,0.997,0.998
1,1000,1000,20,0.795,1,0.886,1,0.951,0.975
1,1000,50000,10,1,1,1,1,1,1
1,1000,10000,30,1,1,1,1,1,1
2,20,5000,50,0.996,0.996,0.996,0.996,0.996,0.996
1,100,10000,40,0.999,1,0.999,1,0.999,1
1,20,5000,30,0.997,1,0.998,1,0.999,0.999
1,20,5000,10,1,1,1,1,1,1
