FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1.0,0.9,0.947,0.909,1.0,0.952
2,100,50000,40,0.998,1.0,0.999,1.0,0.999,0.999
1,50,200,20,0.778,1.0,0.875,1.0,0.939,0.969
1,20,10000,10,0.969,1.0,0.984,1.0,0.996,0.998
1,20,5000,20,0.966,1.0,0.983,1.0,0.992,0.996
1,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,500,40,0.902,0.974,0.937,0.983,0.935,0.959
2,20,10000,40,0.999,0.999,0.999,0.999,0.999,0.999
2,1000,10000,30,0.997,0.998,0.998,0.999,0.999,0.999
2,1000,50000,40,0.997,0.999,0.998,1.0,0.998,0.999
2,100,5000,30,1.0,0.994,0.997,0.997,1.0,0.998
2,50,500,50,0.771,0.925,0.841,0.929,0.78,0.848
2,500,5000,50,0.998,1.0,0.999,1.0,0.998,0.999
2,500,200,30,0.769,0.769,0.769,0.889,0.889,0.889
2,20,5000,40,0.99,0.985,0.987,0.99,0.993,0.992
1,100,10000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,500,200,50,0.833,1.0,0.909,1.0,0.88,0.936
2,50,200,5,0.071,0.5,0.125,0.962,0.658,0.781
1,500,200,20,0.556,1.0,0.714,1.0,0.886,0.939
2,500,50000,40,0.999,1.0,1.0,1.0,1.0,1.0
1,500,1000,5,0.115,0.7,0.197,0.978,0.716,0.827
1,20,500,30,0.913,0.808,0.857,0.925,0.969,0.947
2,1000,50000,30,0.996,0.999,0.998,1.0,0.998,0.999
1,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,10000,50,0.996,0.999,0.997,0.999,0.996,0.997
2,500,50000,5,0.994,0.994,0.994,1.0,1.0,1.0
1,1000,500,5,0.222,0.667,0.333,0.989,0.928,0.957
1,1000,10000,5,0.963,1.0,0.981,1.0,0.998,0.999
2,100,5000,50,0.996,0.998,0.997,0.998,0.996,0.997
1,1000,500,20,0.468,1.0,0.638,1.0,0.679,0.809
2,20,50000,5,0.986,0.998,0.992,1.0,0.999,1.0
1,100,5000,40,0.995,1.0,0.997,1.0,0.997,0.998
2,500,1000,5,0.119,0.417,0.185,0.956,0.803,0.873
2,20,10000,20,0.977,0.997,0.987,0.999,0.995,0.997
2,1000,5000,30,1.0,0.987,0.993,0.994,1.0,0.997
1,100,50000,20,0.999,1.0,1.0,1.0,1.0,1.0
1,100,50000,10,1.0,1.0,1.0,1.0,1.0,1.0
1,50,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
1,20,1000,50,0.789,1.0,0.882,1.0,0.782,0.878
1,500,10000,5,0.957,1.0,0.978,1.0,0.998,0.999
1,1000,5000,40,0.987,1.0,0.994,1.0,0.992,0.996
1,20,10000,5,0.943,1.0,0.971,1.0,0.997,0.999
1,100,500,5,0.2,0.75,0.316,0.987,0.86,0.919
2,50,1000,20,0.453,0.6,0.516,0.874,0.793,0.831
2,20,1000,30,0.521,0.877,0.654,0.917,0.626,0.744
2,20,10000,30,0.986,1.0,0.993,1.0,0.994,0.997
2,500,500,5,0.033,0.5,0.062,0.986,0.704,0.821
2,20,50000,20,0.995,0.999,0.997,1.0,0.999,0.999
1,1000,1000,50,0.83,0.682,0.749,0.696,0.839,0.761
1,1000,200,40,0.8,0.8,0.8,0.8,0.8,0.8
1,500,500,10,0.5,0.778,0.609,0.977,0.923,0.949
1,500,5000,5,0.943,1.0,0.971,1.0,0.996,0.998
1,20,200,5,0.25,0.333,0.286,0.944,0.919,0.932
1,50,1000,30,0.843,0.896,0.869,0.961,0.939,0.95
1,50,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,50,500,5,0.077,0.5,0.133,0.987,0.864,0.921
1,1000,5000,30,0.996,1.0,0.998,1.0,0.999,0.999
1,100,200,40,0.789,1.0,0.882,1.0,0.84,0.913
2,20,10000,50,1.0,0.999,0.999,0.999,1.0,0.999
2,100,200,50,0.8,0.87,0.833,0.8,0.706,0.75
2,100,50000,30,1.0,0.999,0.999,1.0,1.0,1.0
1,50,1000,50,0.792,1.0,0.884,1.0,0.762,0.865
1,500,200,10,0.714,0.714,0.714,0.939,0.939,0.939
2,50,1000,40,0.957,0.87,0.912,0.923,0.976,0.949
2,50,1000,5,0.13,0.6,0.214,0.97,0.765,0.855
2,20,500,40,0.929,0.886,0.907,0.896,0.935,0.915
1,20,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,20,500,30,0.719,0.885,0.793,0.948,0.859,0.902
1,20,10000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,20,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,20,200,30,0.542,0.812,0.65,0.812,0.542,0.65
1,1000,10000,50,0.998,1.0,0.999,1.0,0.998,0.999
2,100,50000,50,0.999,1.0,0.999,1.0,0.999,0.999
1,1000,50000,20,1.0,1.0,1.0,1.0,1.0,1.0
1,100,200,30,0.833,0.882,0.857,0.909,0.87,0.889
2,50,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,100,5000,10,0.962,1.0,0.98,1.0,0.995,0.998
