FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,1,1,1,1,1,1
2,100,50000,40,1,1,1,1,1,1
1,50,200,20,0.833,1,0.909,1,0.971,0.986
1,20,10000,10,1,1,1,1,1,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,1,1,1,1,1,1
1,500,500,40,0.875,1,0.933,1,0.923,0.96
2,20,10000,40,1,1,1,1,1,1
2,1000,10000,30,1,1,1,1,1,1
2,1000,50000,40,1,1,1,1,1,1
2,100,5000,30,1,1,1,1,1,1
2,50,500,50,1,1,1,1,1,1
2,500,5000,50,1,1,1,1,1,1
2,500,200,30,1,1,1,1,1,1
2,20,5000,40,1,1,1,1,1,1
1,100,10000,10,1,1,1,1,1,1
1,500,200,50,1,0.958,0.979,0.941,1,0.97
2,50,200,5,1,0.5,0.667,0.974,1,0.987
1,500,200,20,1,0.875,0.933,0.97,1,0.985
2,500,50000,40,1,1,1,1,1,1
1,500,1000,5,1,0.8,0.889,0.989,1,0.995
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,1,1,1,1,1,1
1,100,50000,40,1,1,1,1,1,1
2,100,10000,50,1,1,1,1,1,1
2,500,50000,5,1,1,1,1,1,1
1,1000,500,5,1,1,1,1,1,1
1,1000,10000,5,0.991,1,0.995,1,0.999,1
2,100,5000,50,1,1,1,1,1,1
1,1000,500,20,0.941,1,0.97,1,0.988,0.994
2,20,50000,5,1,1,1,1,1,1
1,100,5000,40,1,1,1,1,1,1
2,500,1000,5,1,1,1,1,1,1
2,20,10000,20,1,1,1,1,1,1
2,1000,5000,30,1,1,1,1,1,1
1,100,50000,20,0.999,1,1,1,1,1
1,100,50000,10,1,1,1,1,1,1
1,50,10000,50,0.998,1,0.999,1,0.998,0.999
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.988,1,0.994,1,0.999,1
1,1000,5000,40,0.997,1,0.999,1,0.998,0.999
1,20,10000,5,1,1,1,1,1,1
1,100,500,5,0.714,1,0.833,1,0.979,0.989
2,50,1000,20,1,1,1,1,1,1
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,1,1,1,1,1,1
2,500,500,5,1,0.833,0.909,0.989,1,0.995
2,20,50000,20,1,1,1,1,1,1
1,1000,1000,50,0.971,1,0.985,1,0.969,0.984
1,1000,200,40,0.938,0.938,0.938,0.958,0.958,0.958
1,500,500,10,1,1,1,1,1,1
1,500,5000,5,1,1,1,1,1,1
1,20,200,5,0.5,0.5,0.5,0.944,0.944,0.944
1,50,1000,30,1,1,1,1,1,1
1,50,50000,50,1,1,1,1,1,1
2,50,500,5,1,1,1,1,1,1
1,1000,5000,30,0.997,1,0.998,1,0.999,0.999
1,100,200,40,0.833,1,0.909,1,0.88,0.936
2,20,10000,50,1,1,1,1,1,1
2,100,200,50,1,1,1,1,1,1
2,100,50000,30,1,1,1,1,1,1
1,50,1000,50,1,1,1,1,1,1
1,500,200,10,1,0.571,0.727,0.917,1,0.957
2,50,1000,40,1,1,1,1,1,1
2,50,1000,5,1,1,1,1,1,1
2,20,500,40,1,1,1,1,1,1
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,1,1,1,1,1,1
1,20,50000,30,1,1,1,1,1,1
2,20,200,30,1,1,1,1,1,1
1,1000,10000,50,0.99,1,0.995,1,0.99,0.995
2,100,50000,50,1,1,1,1,1,1
1,1000,50000,20,0.997,1,0.999,1,0.999,1
1,100,200,30,0.75,1,0.857,1,0.903,0.949
2,50,50000,50,1,1,1,1,1,1
1,100,5000,10,1,1,1,1,1,1
1,1000,500,40,1,1,1,1,1,1
1,1000,200,50,1,1,1,1,1,1
2,500,10000,20,1,1,1,1,1,1
1,100,5000,30,1,1,1,1,1,1
2,1000,200,10,1,0.667,0.8,0.974,1,0.987
2,1000,1000,40,1,0.988,0.994,0.991,1,0.996
2,100,1000,30,1,1,1,1,1,1
1,500,5000,50,1,1,1,1,1,1
2,1000,50000,10,1,1,1,1,1,1
2,50,200,40,1,1,1,1,1,1
2,100,1000,10,1,1,1,1,1,1
2,50,1000,30,0.982,1,0.991,1,0.992,0.996
1,1000,10000,10,1,1,1,1,1,1
2,1000,200,5,0,0,0,0.95,1,0.974
1,500,500,30,0.967,1,0.983,1,0.986,0.993
2,20,500,10,1,1,1,1,1,1
1,20,500,5,1,1,1,1,1,1
2,50,1000,10,1,1,1,1,1,1
1,1000,5000,50,1,1,1,1,1,1
2,50,200,10,1,1,1,1,1,1
1,100,50000,5,1,1,1,1,1,1
1,20,200,20,1,1,1,1,1,1
1,500,1000,40,0.976,1,0.988,1,0.983,0.991
1,500,5000,30,1,1,1,1,1,1
2,500,500,40,1,1,1,1,1,1
1,50,5000,5,1,1,1,1,1,1
1,50,200,5,0,0,0,0.975,1,0.987
2,1000,200,30,1,1,1,1,1,1
2,100,1000,5,1,1,1,1,1,1
1,20,1000,40,1,1,1,1,1,1
2,1000,5000,10,1,1,1,1,1,1
1,1000,1000,10,1,1,1,1,1,1
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,1,1,1,1,1,1
2,100,50000,10,1,1,1,1,1,1
2,20,200,40,1,1,1,1,1,1
2,100,200,20,0.833,1,0.909,1,0.971,0.986
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,1,1,1,1,1,1
2,100,200,30,1,1,1,1,1,1
2,50,50000,10,1,1,1,1,1,1
2,20,10000,10,1,1,1,1,1,1
1,1000,50000,5,0.993,1,0.997,1,1,1
2,500,10000,40,1,1,1,1,1,1
1,1000,5000,10,1,1,1,1,1,1
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,0.999,1,0.999,1,0.999,1
1,20,1000,5,1,0.778,0.875,0.988,1,0.994
1,50,50000,5,1,1,1,1,1,1
2,500,1000,20,1,1,1,1,1,1
1,1000,200,20,1,0.75,0.857,0.857,1,0.923
2,50,10000,30,1,1,1,1,1,1
1,50,200,10,0.7,0.875,0.778,0.967,0.906,0.935
1,1000,1000,40,0.92,1,0.958,1,0.952,0.976
1,50,50000,30,1,1,1,1,1,1
1,500,5000,10,1,1,1,1,1,1
2,500,200,20,1,1,1,1,1,1
2,100,500,30,1,1,1,1,1,1
1,1000,200,5,0.4,1,0.571,1,0.921,0.959
2,1000,1000,10,1,1,1,1,1,1
1,50,500,10,0.667,0.857,0.75,0.989,0.968,0.978
2,100,500,40,0.975,1,0.987,1,0.98,0.99
1,100,50000,50,1,1,1,1,1,1
1,50,10000,10,1,1,1,1,1,1
1,20,50000,10,1,1,1,1,1,1
2,20,50000,30,1,1,1,1,1,1
2,50,10000,10,1,1,1,1,1,1
2,50,200,30,1,1,1,1,1,1
2,100,10000,40,1,1,1,1,1,1
2,20,5000,5,1,1,1,1,1,1
2,500,200,10,0.8,0.8,0.8,0.971,0.971,0.971
2,50,5000,30,1,1,1,1,1,1
1,1000,50000,30,1,1,1,1,1,1
1,500,50000,40,1,1,1,1,1,1
2,100,10000,5,1,1,1,1,1,1
2,100,1000,50,1,0.99,0.995,0.99,1,0.995
1,1000,50000,50,0.996,1,0.998,1,0.996,0.998
1,50,5000,50,0.996,1,0.998,1,0.996,0.998
2,500,10000,50,0.999,1,0.999,1,0.999,1
1,50,500,20,1,0.958,0.979,0.987,1,0.993
1,50,5000,30,0.997,1,0.998,1,0.998,0.999
1,500,1000,30,0.929,1,0.963,1,0.981,0.99
1,100,500,30,0.958,1,0.979,1,0.987,0.993
2,1000,10000,5,1,0.989,0.995,0.999,1,1
1,100,500,50,0.972,0.921,0.946,0.944,0.981,0.962
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,1,0.991,0.995,0.999,1,0.999
1,100,1000,10,1,0.909,0.952,0.994,1,0.997
1,50,5000,10,1,1,1,1,1,1
2,100,1000,40,1,1,1,1,1,1
1,100,10000,50,1,1,1,1,1,1
2,50,50000,30,1,1,1,1,1,1
2,20,5000,10,1,1,1,1,1,1
1,50,1000,20,1,1,1,1,1,1
1,500,50000,5,0.99,1,0.995,1,0.999,1
2,20,10000,5,1,1,1,1,1,1
2,20,500,20,1,1,1,1,1,1
2,20,500,5,1,1,1,1,1,1
1,20,1000,20,1,1,1,1,1,1
1,1000,1000,5,1,0.75,0.857,0.989,1,0.995
1,100,1000,40,0.919,1,0.958,1,0.955,0.977
2,50,50000,20,1,1,1,1,1,1
1,50,1000,5,0.533,0.8,0.64,0.988,0.959,0.973
1,500,200,40,1,0.947,0.973,0.955,1,0.977
2,50,200,50,1,1,1,1,1,1
1,100,500,10,1,1,1,1,1,1
1,50,200,40,0.955,1,0.977,1,0.947,0.973
2,1000,500,30,1,0.972,0.986,0.985,1,0.992
2,20,5000,30,1,1,1,1,1,1
2,500,50000,50,1,1,1,1,1,1
1,1000,1000,20,1,0.895,0.944,0.975,1,0.987
1,1000,50000,10,0.995,1,0.997,1,0.999,1
1,1000,10000,30,0.995,1,0.997,1,0.998,0.999
2,20,5000,50,1,1,1,1,1,1
1,100,10000,40,1,1,1,1,1,1
1,20,5000,30,1,1,1,1,1,1
1,20,5000,10,1,1,1,1,1,1
2,100,50000,5,1,1,1,1,1,1
2,100,5000,40,1,1,1,1,1,1
2,1000,5000,40,1,0.997,0.999,0.998,1,0.999
1,50,5000,40,0.997,1,0.999,1,0.998,0.999
2,100,5000,10,1,1,1,1,1,1
1,50,1000,40,0.988,1,0.994,1,0.992,0.996
1,20,5000,5,1,1,1,1,1,1
1,100,1000,20,0.923,1,0.96,1,0.989,0.994
2,500,5000,20,1,1,1,1,1,1
2,500,50000,10,1,1,1,1,1,1
2,20,200,10,1,1,1,1,1,1
2,500,5000,40,1,1,1,1,1,1
1,100,5000,5,1,1,1,1,1,1
1,500,200,30,0.889,1,0.941,1,0.969,0.984
1,20,50000,5,1,1,1,1,1,1
1,500,50000,30,1,1,1,1,1,1
2,1000,500,50,1,0.98,0.99,0.98,1,0.99
1,500,200,5,0.5,0.4,0.444,0.917,0.943,0.93
2,500,5000,5,1,1,1,1,1,1
1,20,200,10,0.889,1,0.941,1,0.969,0.984
1,50,10000,5,0.989,1,0.995,1,0.999,1
1,100,500,40,1,1,1,1,1,1
1,20,200,30,1,0.909,0.952,0.967,1,0.983
1,1000,500,50,1,1,1,1,1,1
1,50,200,50,0.812,0.929,0.867,0.958,0.885,0.92
2,1000,50000,5,1,1,1,1,1,1
2,1000,500,20,1,0.957,0.978,0.987,1,0.994
1,1000,200,30,0.944,1,0.971,1,0.957,0.978
1,500,1000,20,0.974,1,0.987,1,0.994,0.997
2,50,5000,5,1,1,1,1,1,1
2,1000,1000,50,1,1,1,1,1,1
1,100,10000,30,1,1,1,1,1,1
1,500,5000,40,1,1,1,1,1,1
2,100,500,10,1,1,1,1,1,1
2,20,50000,10,1,1,1,1,1,1
2,20,5000,20,1,1,1,1,1,1
1,100,50000,30,1,1,1,1,1,1
1,50,10000,20,1,1,1,1,1,1
1,100,1000,5,1,0.6,0.75,0.977,1,0.988
2,20,50000,40,1,1,1,1,1,1
1,50,5000,20,1,1,1,1,1,1
2,50,500,40,1,0.972,0.986,0.982,1,0.991
1,50,1000,10,0.957,1,0.978,1,0.994,0.997
2,500,50000,30,1,1,1,1,1,1
2,500,50000,20,1,1,1,1,1,1
1,20,10000,40,1,1,1,1,1,1
2,50,1000,50,1,0.991,0.996,0.988,1,0.994
2,20,1000,50,1,1,1,1,1,1
2,20,1000,10,1,1,1,1,1,1
2,100,5000,20,1,1,1,1,1,1
2,100,500,50,1,0.978,0.989,0.978,1,0.989
2,20,200,20,1,1,1,1,1,1
2,1000,200,20,1,1,1,1,1,1
1,20,500,50,1,1,1,1,1,1
2,500,1000,50,1,1,1,1,1,1
2,1000,500,5,1,1,1,1,1,1
1,500,5000,20,1,1,1,1,1,1
2,1000,10000,40,1,1,1,1,1,1
2,1000,5000,5,1,1,1,1,1,1
2,500,200,50,1,1,1,1,1,1
1,50,500,50,0.979,1,0.989,1,0.977,0.988
1,500,1000,10,0.76,0.95,0.844,0.994,0.966,0.98
2,20,1000,40,1,1,1,1,1,1
1,1000,5000,5,1,1,1,1,1,1
2,1000,10000,10,1,1,1,1,1,1
1,500,500,5,1,0.833,0.909,0.989,1,0.995
2,100,10000,20,1,1,1,1,1,1
2,500,500,10,1,1,1,1,1,1
2,500,10000,10,1,1,1,1,1,1
1,500,50000,10,0.997,1,0.999,1,1,1
2,50,10000,20,1,1,1,1,1,1
1,50,500,40,1,1,1,1,1,1
1,1000,1000,30,1,0.881,0.937,0.951,1,0.975
2,1000,50000,50,1,1,1,1,1,1
1,500,10000,10,0.995,1,0.998,1,0.999,1
2,50,500,10,1,0.889,0.941,0.989,1,0.995
2,100,10000,10,1,1,1,1,1,1
2,50,5000,40,1,1,1,1,1,1
2,1000,500,10,1,1,1,1,1,1
1,1000,200,10,1,1,1,1,1,1
1,100,10000,20,0.997,1,0.999,1,0.999,1
1,1000,10000,20,0.998,1,0.999,1,0.999,1
1,50,50000,10,1,1,1,1,1,1
1,1000,500,10,0.923,0.857,0.889,0.977,0.988,0.983
2,1000,10000,20,1,1,1,1,1,1
2,100,200,10,1,0.667,0.8,0.974,1,0.987
1,20,1000,10,0.955,1,0.977,1,0.994,0.997
1,500,10000,40,1,1,1,1,1,1
2,20,200,50,1,0.944,0.971,0.957,1,0.978
1,500,10000,20,0.998,1,0.999,1,0.999,1
2,1000,1000,30,1,0.984,0.992,0.993,1,0.996
2,50,200,20,1,1,1,1,1,1
1,500,1000,50,0.99,0.961,0.975,0.958,0.989,0.973
2,100,500,20,1,1,1,1,1,1
2,20,1000,5,1,1,1,1,1,1
2,1000,1000,20,1,1,1,1,1,1
