FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.8,0.167,0.276,0.429,0.938,0.588
2,100,50000,40,0.854,0.939,0.895,0.958,0.896,0.926
1,50,200,20,1,0.5,0.667,0.947,1,0.973
1,20,10000,10,0.995,1,0.997,1,0.999,1
1,20,5000,20,1,1,1,1,1,1
1,1000,50000,40,0,0,0,0.601,1,0.751
1,500,500,40,0.842,0.41,0.552,0.716,0.951,0.817
2,20,10000,40,0.995,1,0.997,1,0.997,0.998
2,1000,10000,30,0,0,0,0.683,1,0.812
2,1000,50000,40,0,0,0,0.605,1,0.754
2,100,5000,30,0.872,1,0.932,1,0.931,0.964
2,50,500,50,0.909,0.37,0.526,0.5,0.944,0.654
2,500,5000,50,0,0,0,0.51,1,0.675
2,500,200,30,0,0,0,0.8,1,0.889
2,20,5000,40,0.998,1,0.999,1,0.998,0.999
1,100,10000,10,0.582,0.642,0.611,0.964,0.954,0.958
1,500,200,50,0.917,0.957,0.936,0.938,0.882,0.909
2,50,200,5,0,0,0,0.97,0.821,0.889
1,500,200,20,0,0,0,0.775,1,0.873
2,500,50000,40,0,0,0,0.6,1,0.75
1,500,1000,5,0,0,0,0.969,1,0.984
1,20,500,30,1,1,1,1,1,1
2,1000,50000,30,0,0,0,0.702,1,0.825
1,100,50000,40,0.92,1,0.959,1,0.942,0.97
2,100,10000,50,0.588,0.61,0.599,0.612,0.59,0.601
2,500,50000,5,0,0,0,0.948,1,0.973
1,1000,500,5,0,0,0,0.94,1,0.969
1,1000,10000,5,0,0,0,0.951,1,0.975
2,100,5000,50,0.924,0.938,0.931,0.944,0.931,0.937
1,1000,500,20,0,0,0,0.83,1,0.907
2,20,50000,5,0.994,1,0.997,1,1,1
1,100,5000,40,0.491,0.618,0.547,0.685,0.564,0.618
2,500,1000,5,0,0,0,0.949,1,0.974
2,20,10000,20,0.983,1,0.991,1,0.996,0.998
2,1000,5000,30,0,0,0,0.73,1,0.844
1,100,50000,20,0.248,0.866,0.385,0.916,0.357,0.513
1,100,50000,10,0.327,0.948,0.486,0.992,0.777,0.872
1,50,10000,50,1,1,1,1,1,1
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0.077,0.242,0.117,0.958,0.856,0.904
1,1000,5000,40,0.626,0.506,0.56,0.716,0.804,0.757
1,20,10000,5,0.988,1,0.994,1,0.999,1
1,100,500,5,0.667,1,0.8,1,0.979,0.989
2,50,1000,20,0.933,0.933,0.933,0.987,0.987,0.987
2,20,1000,30,0.985,1,0.992,1,0.991,0.996
2,20,10000,30,0.998,1,0.999,1,0.999,1
2,500,500,5,0,0,0,0.95,1,0.974
2,20,50000,20,0.999,1,0.999,1,1,1
1,1000,1000,50,0.875,0.365,0.515,0.606,0.949,0.74
1,1000,200,40,0.275,1,0.431,0,0,0
1,500,500,10,0,0,0,0.88,1,0.936
1,500,5000,5,0.093,0.328,0.144,0.951,0.803,0.87
1,20,200,5,1,1,1,1,1,1
1,50,1000,30,0.981,1,0.99,1,0.992,0.996
1,50,50000,50,0.999,1,1,1,0.999,1
2,50,500,5,0.875,0.778,0.824,0.978,0.989,0.984
1,1000,5000,30,0,0,0,0.721,1,0.838
1,100,200,40,0.467,1,0.636,1,0.385,0.556
2,20,10000,50,0.996,1,0.998,1,0.996,0.998
2,100,200,50,0.774,1,0.873,1,0.562,0.72
2,100,50000,30,0.489,0.528,0.507,0.785,0.757,0.771
1,50,1000,50,0.94,1,0.969,1,0.923,0.96
1,500,200,10,0.133,1,0.235,1,0.278,0.435
2,50,1000,40,0.905,1,0.95,1,0.921,0.959
2,50,1000,5,0.818,0.9,0.857,0.994,0.988,0.991
2,20,500,40,0.97,0.914,0.941,0.947,0.982,0.964
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,0.966,0.966,0.966,0.986,0.986,0.986
1,20,10000,30,1,1,1,1,1,1
1,20,50000,30,0.999,1,0.999,1,0.999,1
2,20,200,30,1,1,1,1,1,1
1,1000,10000,50,0.799,0.401,0.534,0.595,0.897,0.715
2,100,50000,50,0.38,0.386,0.383,0.355,0.349,0.352
1,1000,50000,20,0,0,0,0.801,1,0.89
1,100,200,30,0,0,0,0.625,1,0.769
2,50,50000,50,0.941,0.932,0.936,0.935,0.943,0.939
1,100,5000,10,0.821,1,0.902,1,0.97,0.985
1,1000,500,40,0.818,1,0.9,1,0.818,0.9
1,1000,200,50,0,0,0,0.6,1,0.75
2,500,10000,20,0,0,0,0.789,1,0.882
1,100,5000,30,1,1,1,1,1,1
2,1000,200,10,0,0,0,0.925,1,0.961
2,1000,1000,40,0,0,0,0.6,1,0.75
2,100,1000,30,0.688,1,0.815,1,0.853,0.921
1,500,5000,50,0,0,0,0.508,1,0.674
2,1000,50000,10,0,0,0,0.902,1,0.949
2,50,200,40,0.923,0.857,0.889,0.926,0.962,0.943
2,100,1000,10,0.138,0.786,0.234,0.97,0.584,0.729
2,50,1000,30,0.84,0.977,0.903,0.992,0.942,0.966
1,1000,10000,10,0,0,0,0.902,1,0.949
2,1000,200,5,0,0,0,0.95,1,0.974
1,500,500,30,0,0,0,0.73,1,0.844
2,20,500,10,0.929,0.929,0.929,0.988,0.988,0.988
1,20,500,5,1,1,1,1,1,1
2,50,1000,10,0.643,0.474,0.545,0.94,0.969,0.954
1,1000,5000,50,0.737,0.289,0.415,0.586,0.907,0.712
2,50,200,10,0.364,0.667,0.471,0.931,0.794,0.857
1,100,50000,5,0.148,0.301,0.198,0.961,0.908,0.934
1,20,200,20,1,1,1,1,1,1
1,500,1000,40,0.731,0.528,0.613,0.762,0.886,0.82
1,500,5000,30,0,0,0,0.7,1,0.824
2,500,500,40,0,0,0,0.6,1,0.75
1,50,5000,5,0.935,0.977,0.956,0.999,0.997,0.998
1,50,200,5,1,0.333,0.5,0.949,1,0.974
2,1000,200,30,0,0,0,0.725,1,0.841
2,100,1000,5,0.192,1,0.323,1,0.88,0.936
1,20,1000,40,0.989,1,0.994,1,0.991,0.995
2,1000,5000,10,0,0,0,0.9,1,0.947
1,1000,1000,10,0,0,0,0.877,1,0.934
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,0,0,0,0.55,1,0.71
2,100,50000,10,0.185,0.268,0.219,0.918,0.874,0.896
2,20,200,40,0.889,0.941,0.914,0.955,0.913,0.933
2,100,200,20,0.6,1,0.75,1,0.882,0.938
1,20,10000,20,1,1,1,1,1,1
1,20,50000,40,1,1,1,1,1,1
2,500,5000,10,0,0,0,0.906,1,0.951
2,100,200,30,0.286,0.222,0.25,0.788,0.839,0.812
2,50,50000,10,0.2,0.736,0.315,0.958,0.672,0.79
2,20,10000,10,0.972,1,0.986,1,0.997,0.998
1,1000,50000,5,0,0,0,0.949,1,0.974
2,500,10000,40,0,0,0,0.595,1,0.746
1,1000,5000,10,0,0,0,0.904,1,0.95
1,20,50000,50,0.999,1,1,1,0.999,1
1,500,10000,50,0,0,0,0.516,1,0.681
1,20,1000,5,1,1,1,1,1,1
1,50,50000,5,0.415,1,0.587,1,0.929,0.963
2,500,1000,20,0,0,0,0.785,1,0.879
1,1000,200,20,1,0.5,0.667,0.857,1,0.923
2,50,10000,30,0.394,0.35,0.371,0.732,0.768,0.75
1,50,200,10,1,0.833,0.909,0.971,1,0.986
1,1000,1000,40,0,0,0,0.621,1,0.766
1,50,50000,30,1,1,1,1,1,1
1,500,5000,10,0,0,0,0.904,0.999,0.949
2,500,200,20,0.833,0.714,0.769,0.941,0.97,0.955
2,100,500,30,0.358,0.731,0.481,0.851,0.541,0.661
1,1000,200,5,0,0,0,0.95,1,0.974
2,1000,1000,10,0,0,0,0.938,1,0.968
1,50,500,10,1,1,1,1,1,1
2,100,500,40,0.909,0.976,0.941,0.978,0.918,0.947
1,100,50000,50,0.605,0.818,0.696,0.714,0.461,0.56
1,50,10000,10,0.994,1,0.997,1,0.999,1
1,20,50000,10,0.997,1,0.998,1,1,1
2,20,50000,30,0.999,1,0.999,1,1,1
2,50,10000,10,0.989,0.994,0.992,0.999,0.999,0.999
2,50,200,30,0.842,0.941,0.889,0.952,0.87,0.909
2,100,10000,40,0.536,0.938,0.682,0.918,0.459,0.612
2,20,5000,5,0.978,1,0.989,1,0.999,0.999
2,500,200,10,0.25,1,0.4,1,0.842,0.914
2,50,5000,30,0.944,1,0.971,1,0.973,0.986
1,1000,50000,30,0,0,0,0.702,1,0.825
1,500,50000,40,0,0,0,0.605,1,0.754
2,100,10000,5,0.174,0.505,0.258,0.964,0.848,0.903
2,100,1000,50,0.889,0.967,0.926,0.97,0.899,0.933
1,1000,50000,50,0,0,0,0.496,1,0.663
1,50,5000,50,1,1,1,1,1,1
2,500,10000,50,0,0,0,0.5,1,0.667
1,50,500,20,1,1,1,1,1,1
1,50,5000,30,0.802,0.98,0.882,0.99,0.891,0.938
1,500,1000,30,0,0,0,0.697,1,0.822
1,100,500,30,0.933,0.4,0.56,0.753,0.985,0.853
2,1000,10000,5,0,0,0,0.943,1,0.971
1,100,500,50,0.717,0.915,0.804,0.867,0.605,0.712
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,0.932,0.98,0.955,0.998,0.992,0.995
1,100,1000,10,0.12,0.778,0.207,0.937,0.364,0.524
1,50,5000,10,0.954,1,0.976,1,0.994,0.997
2,100,1000,40,0.72,0.935,0.814,0.95,0.772,0.852
1,100,10000,50,0.679,0.662,0.67,0.663,0.679,0.671
2,50,50000,30,0.883,0.973,0.926,0.988,0.944,0.965
2,20,5000,10,0.967,1,0.983,1,0.997,0.998
1,50,1000,20,1,1,1,1,1,1
1,500,50000,5,0,0,0,0.95,1,0.975
2,20,10000,5,0.978,1,0.989,1,0.999,0.999
2,20,500,20,0.92,0.958,0.939,0.987,0.974,0.98
2,20,500,5,1,1,1,1,1,1
1,20,1000,20,1,1,1,1,1,1
1,1000,1000,5,0,0,0,0.938,1,0.968
