FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.783,0.9,0.837,0.882,0.75,0.811
2,100,50000,40,0.675,0.921,0.779,0.932,0.711,0.807
1,50,200,20,0.667,0.286,0.4,0.865,0.97,0.914
1,20,10000,10,0.949,1.0,0.974,1.0,0.994,0.997
1,20,5000,20,0.598,0.7,0.645,0.933,0.899,0.916
1,1000,50000,40,0.0,0.0,0.0,0.595,1.0,0.746
1,500,500,40,0.469,1.0,0.639,1.0,0.306,0.469
2,20,10000,40,0.993,0.99,0.991,0.993,0.995,0.994
2,1000,10000,30,0.0,0.0,0.0,0.699,1.0,0.822
2,1000,50000,40,0.0,0.0,0.0,0.611,1.0,0.758
2,100,5000,30,0.54,0.759,0.631,0.857,0.69,0.765
2,50,500,50,0.66,0.875,0.753,0.865,0.64,0.736
2,500,5000,50,0.0,0.0,0.0,0.508,1.0,0.674
2,500,200,30,0.0,0.0,0.0,0.675,1.0,0.806
2,20,5000,40,0.931,0.995,0.962,0.996,0.952,0.973
1,100,10000,10,0.0,0.0,0.0,0.893,1.0,0.944
1,500,200,50,0.0,0.0,0.0,0.625,1.0,0.769
2,50,200,5,0.182,1.0,0.308,1.0,0.763,0.866
1,500,200,20,0.083,0.2,0.118,0.857,0.686,0.762
2,500,50000,40,0.0,0.0,0.0,0.602,1.0,0.752
1,500,1000,5,0.0,0.0,0.0,0.95,1.0,0.974
1,20,500,30,0.711,0.964,0.818,0.984,0.847,0.91
2,1000,50000,30,0.0,0.0,0.0,0.699,1.0,0.823
1,100,50000,40,0.864,1.0,0.927,1.0,0.895,0.944
2,100,10000,50,0.866,0.957,0.909,0.949,0.846,0.895
2,500,50000,5,0.0,0.0,0.0,0.954,1.0,0.976
1,1000,500,5,0.043,1.0,0.082,1.0,0.309,0.472
1,1000,10000,5,0.0,0.0,0.0,0.948,1.0,0.973
2,100,5000,50,0.912,0.901,0.906,0.906,0.917,0.912
1,1000,500,20,0.0,0.0,0.0,0.78,1.0,0.876
2,20,50000,5,0.921,0.99,0.954,0.999,0.996,0.997
1,100,5000,40,0.56,0.885,0.686,0.899,0.596,0.717
2,500,1000,5,0.0,0.0,0.0,0.94,1.0,0.969
2,20,10000,20,0.982,0.988,0.985,0.997,0.996,0.997
2,1000,5000,30,0.0,0.0,0.0,0.701,1.0,0.824
1,100,50000,20,0.65,0.855,0.738,0.962,0.89,0.925
1,100,50000,10,0.051,0.135,0.074,0.885,0.73,0.8
1,50,10000,50,0.915,1.0,0.956,1.0,0.9,0.947
1,20,1000,50,0.576,0.922,0.709,0.875,0.445,0.59
1,500,10000,5,0.927,1.0,0.962,1.0,0.996,0.998
1,1000,5000,40,0.0,0.0,0.0,0.611,1.0,0.759
1,20,10000,5,0.741,1.0,0.851,1.0,0.983,0.991
1,100,500,5,0.0,0.0,0.0,0.95,1.0,0.974
2,50,1000,20,0.0,0.0,0.0,0.778,1.0,0.875
2,20,1000,30,0.507,0.649,0.569,0.813,0.707,0.757
2,20,10000,30,0.996,0.989,0.993,0.995,0.998,0.997
2,500,500,5,0.0,0.0,0.0,0.98,1.0,0.99
2,20,50000,20,0.993,0.992,0.992,0.998,0.998,0.998
1,1000,1000,50,0.0,0.0,0.0,0.465,1.0,0.635
1,1000,200,40,0.633,0.95,0.76,0.9,0.45,0.6
1,500,500,10,0.0,0.0,0.0,0.91,1.0,0.953
1,500,5000,5,0.0,0.0,0.0,0.934,1.0,0.966
1,20,200,5,0.091,0.333,0.143,0.931,0.73,0.818
1,50,1000,30,0.402,0.896,0.555,0.932,0.515,0.663
1,50,50000,50,0.778,0.199,0.316,0.542,0.944,0.688
2,50,500,5,0.0,0.0,0.0,0.97,1.0,0.985
1,1000,5000,30,0.986,1.0,0.993,1.0,0.994,0.997
1,100,200,40,0.632,0.8,0.706,0.857,0.72,0.783
2,20,10000,50,0.997,0.997,0.997,0.997,0.997,0.997
2,100,200,50,0.676,1.0,0.807,1.0,0.353,0.522
2,100,50000,30,0.51,0.845,0.636,0.91,0.657,0.763
1,50,1000,50,0.719,0.863,0.785,0.849,0.695,0.764
1,500,200,10,0.0,0.0,0.0,0.825,1.0,0.904
2,50,1000,40,0.743,0.714,0.728,0.825,0.846,0.835
2,50,1000,5,0.071,0.5,0.125,0.955,0.618,0.75
2,20,500,40,0.588,0.909,0.714,0.818,0.391,0.529
1,20,5000,50,0.96,0.982,0.971,0.981,0.96,0.97
2,20,500,30,0.0,0.0,0.0,0.71,1.0,0.83
1,20,10000,30,0.988,1.0,0.994,1.0,0.994,0.997
1,20,50000,30,0.996,1.0,0.998,1.0,0.998,0.999
2,20,200,30,0.5,0.562,0.529,0.682,0.625,0.652
1,1000,10000,50,0.989,1.0,0.995,1.0,0.989,0.994
2,100,50000,50,0.746,0.813,0.778,0.792,0.72,0.754
1,1000,50000,20,0.942,1.0,0.97,1.0,0.985,0.992
1,100,200,30,0.0,0.0,0.0,0.575,1.0,0.73
2,50,50000,50,0.993,0.92,0.955,0.926,0.994,0.958
1,100,5000,10,0.497,0.99,0.662,0.999,0.884,0.938
1,1000,500,40,0.448,0.857,0.588,0.848,0.431,0.571
1,1000,200,50,0.5,0.056,0.1,0.553,0.955,0.7
2,500,10000,20,0.0,0.0,0.0,0.81,1.0,0.895
1,100,5000,30,0.949,1.0,0.974,1.0,0.976,0.988
2,1000,200,10,0.0,0.0,0.0,0.925,1.0,0.961
2,1000,1000,40,0.0,0.0,0.0,0.57,1.0,0.726
2,100,1000,30,0.955,0.404,0.568,0.804,0.992,0.888
1,500,5000,50,0.788,0.967,0.868,0.954,0.724,0.823
2,1000,50000,10,0.0,0.0,0.0,0.899,1.0,0.947
2,50,200,40,0.423,0.917,0.579,0.929,0.464,0.619
2,100,1000,10,0.0,0.0,0.0,0.894,1.0,0.944
2,50,1000,30,0.741,0.408,0.526,0.81,0.947,0.873
1,1000,10000,10,0.616,0.994,0.761,0.999,0.939,0.968
2,1000,200,5,0.0,0.0,0.0,0.95,1.0,0.974
1,500,500,30,0.0,0.0,0.0,0.65,1.0,0.788
2,20,500,10,0.421,1.0,0.593,1.0,0.88,0.936
1,20,500,5,0.125,0.5,0.2,0.989,0.929,0.958
2,50,1000,10,0.203,0.875,0.329,0.982,0.665,0.793
1,1000,5000,50,0.891,1.0,0.943,1.0,0.874,0.933
2,50,200,10,0.214,0.75,0.333,0.962,0.694,0.806
1,100,50000,5,0.907,1.0,0.951,1.0,0.995,0.997
1,20,200,20,0.357,0.714,0.476,0.923,0.727,0.814
1,500,1000,40,0.435,1.0,0.606,1.0,0.187,0.315
1,500,5000,30,1.0,1.0,1.0,1.0,1.0,1.0
2,500,500,40,1.0,0.923,0.96,0.953,1.0,0.976
1,50,5000,5,0.347,1.0,0.515,1.0,0.914,0.955
1,50,200,5,0.0,0.0,0.0,0.917,0.892,0.904
2,1000,200,30,0.44,0.917,0.595,0.933,0.5,0.651
2,100,1000,5,0.119,0.636,0.2,0.967,0.692,0.807
1,20,1000,40,0.557,0.975,0.709,0.967,0.483,0.644
