FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0,0,0,0.525,1,0.689
2,100,50000,40,0.397,0.995,0.567,0.77,0.011,0.022
1,50,200,20,0.75,0.75,0.75,0.938,0.938,0.938
1,20,10000,10,0.995,1,0.997,1,0.999,1
1,20,5000,20,0.994,1,0.997,1,0.999,0.999
1,1000,50000,40,0,0,0,0.601,1,0.751
1,500,500,40,0,0,0,0.61,1,0.758
2,20,10000,40,0.997,0.999,0.998,0.999,0.998,0.999
2,1000,10000,30,0,0,0,0.727,1,0.842
2,1000,50000,40,0,0,0,0.604,1,0.753
2,100,5000,30,0.799,0.917,0.854,0.964,0.906,0.934
2,50,500,50,0.887,1,0.94,1,0.86,0.925
2,500,5000,50,0,0,0,0.467,1,0.637
2,500,200,30,0.5,0.556,0.526,0.867,0.839,0.852
2,20,5000,40,0.985,1,0.992,1,0.99,0.995
1,100,10000,10,1,0.363,0.532,0.937,1,0.968
1,500,200,50,0.87,0.833,0.851,0.765,0.812,0.788
2,50,200,5,0,0,0,1,0.975,0.987
1,500,200,20,0,0,0,0.75,1,0.857
2,500,50000,40,0,0,0,0.597,1,0.748
1,500,1000,5,0,0,0,0.954,1,0.976
1,20,500,30,0.96,1,0.98,1,0.987,0.993
2,1000,50000,30,0,0,0,0.705,1,0.827
1,100,50000,40,0.981,1,0.99,1,0.987,0.993
2,100,10000,50,0.96,0.947,0.953,0.943,0.957,0.95
2,500,50000,5,0,0,0,0.95,1,0.974
1,1000,500,5,0,0,0,0.96,1,0.98
1,1000,10000,5,0,0,0,0.948,1,0.973
2,100,5000,50,0.96,0.951,0.955,0.953,0.962,0.958
1,1000,500,20,0,0,0,0.83,1,0.907
2,20,50000,5,0.991,0.998,0.994,1,1,1
1,100,5000,40,0.521,0.191,0.28,0.625,0.885,0.733
2,500,1000,5,0,0,0,0.959,1,0.979
2,20,10000,20,0.997,1,0.999,1,0.999,1
2,1000,5000,30,0,0,0,0.711,1,0.831
1,100,50000,20,0.775,1,0.874,1,0.931,0.964
1,100,50000,10,0.351,0.918,0.508,0.99,0.825,0.9
1,50,10000,50,0.998,1,0.999,1,0.998,0.999
1,20,1000,50,1,1,1,1,1,1
1,500,10000,5,0,0,0,0.948,1,0.973
1,1000,5000,40,0,0,0,0.588,1,0.741
1,20,10000,5,0.98,1,0.99,1,0.999,0.999
1,100,500,5,0.129,0.667,0.216,0.971,0.713,0.822
2,50,1000,20,0.636,0.933,0.757,0.985,0.893,0.937
2,20,1000,30,0.918,1,0.957,1,0.947,0.973
2,20,10000,30,0.995,1,0.997,1,0.998,0.999
2,500,500,5,0,0,0,0.95,1,0.974
2,20,50000,20,0.999,1,0.999,1,1,1
1,1000,1000,50,0,0,0,0.487,1,0.655
1,1000,200,40,0,0,0,0.575,1,0.73
1,500,500,10,0,0,0,0.85,1,0.919
1,500,5000,5,0,0,0,0.957,1,0.978
1,20,200,5,1,1,1,1,1,1
1,50,1000,30,0.929,0.236,0.377,0.747,0.992,0.852
1,50,50000,50,0.999,1,1,1,0.999,1
2,50,500,5,1,1,1,1,1,1
1,1000,5000,30,0,0,0,0.711,1,0.831
1,100,200,40,0.655,1,0.792,1,0.524,0.688
2,20,10000,50,0.997,0.999,0.998,0.999,0.997,0.998
2,100,200,50,0.667,0.857,0.75,0.769,0.526,0.625
2,100,50000,30,0.546,0.246,0.339,0.741,0.913,0.818
1,50,1000,50,0.919,1,0.958,1,0.908,0.952
1,500,200,10,0.15,1,0.261,0,0,0
2,50,1000,40,0.922,0.789,0.85,0.846,0.945,0.893
2,50,1000,5,0.269,0.875,0.412,0.994,0.89,0.939
2,20,500,40,0.973,1,0.986,1,0.981,0.991
1,20,5000,50,1,1,1,1,1,1
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,0.998,1,0.999,1,0.999,1
1,20,50000,30,0.998,1,0.999,1,0.999,1
2,20,200,30,0.857,1,0.923,1,0.864,0.927
1,1000,10000,50,0,0,0,0.517,1,0.682
2,100,50000,50,0.979,0.624,0.762,0.729,0.987,0.839
1,1000,50000,20,0,0,0,0.801,1,0.89
1,100,200,30,0.692,0.562,0.621,0.741,0.833,0.784
2,50,50000,50,0.925,0.999,0.961,0.999,0.917,0.956
1,100,5000,10,0.354,0.935,0.513,0.992,0.819,0.897
1,1000,500,40,0,0,0,0.57,1,0.726
1,1000,200,50,0,0,0,0.625,1,0.769
2,500,10000,20,0,0,0,0.8,1,0.889
1,100,5000,30,0.754,0.997,0.859,0.998,0.851,0.919
2,1000,200,10,0,0,0,0.875,1,0.933
2,1000,1000,40,0,0,0,0.574,1,0.73
2,100,1000,30,0.857,0.638,0.732,0.883,0.962,0.921
1,500,5000,50,0,0,0,0.501,1,0.668
2,1000,50000,10,0,0,0,0.901,1,0.948
2,50,200,40,0.923,0.667,0.774,0.778,0.955,0.857
2,100,1000,10,0.654,0.85,0.739,0.981,0.944,0.962
2,50,1000,30,0.877,0.962,0.917,0.984,0.945,0.964
1,1000,10000,10,0,0,0,0.899,1,0.947
2,1000,200,5,0,0,0,0.925,1,0.961
1,500,500,30,0,0,0,0.67,1,0.802
2,20,500,10,0.643,0.692,0.667,0.953,0.943,0.948
1,20,500,5,1,1,1,1,1,1
2,50,1000,10,0.667,0.933,0.778,0.994,0.958,0.975
1,1000,5000,50,0,0,0,0.51,1,0.675
2,50,200,10,0.333,1,0.5,1,0.714,0.833
1,100,50000,5,0.644,1,0.783,1,0.969,0.984
1,20,200,20,1,1,1,1,1,1
1,500,1000,40,0,0,0,0.595,1,0.746
1,500,5000,30,0,0,0,0.712,1,0.832
2,500,500,40,0,0,0,0.53,1,0.693
1,50,5000,5,0.965,1,0.982,1,0.998,0.999
1,50,200,5,0.4,1,0.571,1,0.921,0.959
2,1000,200,30,0,0,0,0.7,1,0.824
2,100,1000,5,0.235,0.667,0.348,0.988,0.925,0.955
1,20,1000,40,0.989,1,0.995,1,0.991,0.995
2,1000,5000,10,0,0,0,0.907,1,0.951
1,1000,1000,10,0,0,0,0.908,1,0.952
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,0,0,0,0.63,1,0.773
2,100,50000,10,0.239,1,0.386,1,0.663,0.798
2,20,200,40,0.846,0.846,0.846,0.926,0.926,0.926
2,100,200,20,0.571,0.8,0.667,0.97,0.914,0.941
1,20,10000,20,0.997,1,0.999,1,0.999,1
1,20,50000,40,0.999,1,0.999,1,0.999,1
2,500,5000,10,0,0,0,0.913,1,0.955
2,100,200,30,0.6,0.6,0.6,0.867,0.867,0.867
2,50,50000,10,0.923,0.999,0.96,1,0.991,0.996
2,20,10000,10,0.995,1,0.998,1,0.999,1
1,1000,50000,5,0,0,0,0.948,1,0.973
2,500,10000,40,0,0,0,0.607,1,0.755
1,1000,5000,10,0,0,0,0.9,1,0.947
1,20,50000,50,1,1,1,1,1,1
1,500,10000,50,0,0,0,0.486,1,0.655
1,20,1000,5,0.833,1,0.909,1,0.994,0.997
1,50,50000,5,0.988,1,0.994,1,0.999,1
2,500,1000,20,0,0,0,0.779,1,0.876
1,1000,200,20,0,0,0,0.65,1,0.788
2,50,10000,30,0.966,0.989,0.977,0.995,0.986,0.991
1,50,200,10,0.333,0.5,0.4,0.973,0.947,0.96
1,1000,1000,40,0,0,0,0.605,1,0.754
1,50,50000,30,0.919,0.977,0.947,0.99,0.962,0.976
1,500,5000,10,0,0,0,0.9,1,0.947
2,500,200,20,0,0,0,0.75,1,0.857
2,100,500,30,0.86,1,0.925,1,0.905,0.95
1,1000,200,5,0,0,0,0.925,1,0.961
2,1000,1000,10,0,0,0,0.933,1,0.966
1,50,500,10,0.409,1,0.581,1,0.857,0.923
2,100,500,40,0.756,0.971,0.85,0.978,0.8,0.88
1,100,50000,50,0.998,1,0.999,1,0.998,0.999
1,50,10000,10,0.984,1,0.992,1,0.998,0.999
1,20,50000,10,0.988,1,0.994,1,0.999,0.999
2,20,50000,30,0.999,0.998,0.998,0.999,1,0.999
2,50,10000,10,0.713,1,0.833,1,0.954,0.977
2,50,200,30,0.5,0.5,0.5,0.786,0.786,0.786
2,100,10000,40,0.558,0.881,0.683,0.878,0.553,0.679
2,20,5000,5,1,0.976,0.988,0.999,1,0.999
2,500,200,10,0,0,0,0.925,1,0.961
2,50,5000,30,0.913,0.997,0.953,0.998,0.953,0.975
1,1000,50000,30,0,0,0,0.7,1,0.824
1,500,50000,40,0,0,0,0.608,1,0.756
2,100,10000,5,0.386,0.687,0.495,0.981,0.937,0.958
2,100,1000,50,1,0.02,0.04,0.51,1,0.676
1,1000,50000,50,0,0,0,0.507,1,0.673
1,50,5000,50,1,0.965,0.982,0.964,1,0.981
2,500,10000,50,0,0,0,0.524,1,0.688
1,50,500,20,0.621,0.947,0.75,0.986,0.864,0.921
1,50,5000,30,0.598,1,0.749,1,0.702,0.825
1,500,1000,30,0,0,0,0.641,1,0.781
1,100,500,30,0.745,1,0.854,1,0.815,0.898
2,1000,10000,5,0,0,0,0.951,1,0.975
1,100,500,50,0.793,1,0.885,1,0.727,0.842
1,20,1000,30,1,1,1,1,1,1
2,50,5000,10,0.826,1,0.905,1,0.972,0.986
1,100,1000,10,0.265,1,0.419,1,0.691,0.818
1,50,5000,10,0.991,1,0.996,1,0.999,0.999
2,100,1000,40,0.768,0.95,0.849,0.96,0.808,0.878
1,100,10000,50,0.864,1,0.927,1,0.835,0.91
2,50,50000,30,0.922,0.992,0.956,0.996,0.963,0.979
2,20,5000,10,0.979,1,0.989,1,0.998,0.999
1,50,1000,20,0.9,1,0.947,1,0.972,0.986
1,500,50000,5,0,0,0,0.945,1,0.972
2,20,10000,5,0.987,0.961,0.974,0.998,0.999,0.999
2,20,500,20,0.962,1,0.98,1,0.987,0.993
2,20,500,5,0.2,1,0.333,1,0.918,0.957
1,20,1000,20,0.879,1,0.935,1,0.974,0.987
1,1000,1000,5,0,0,0,0.933,1,0.966
1,100,1000,40,0.895,1,0.945,1,0.896,0.945
2,50,50000,20,0.939,0.998,0.967,0.999,0.984,0.992
1,50,1000,5,0.714,1,0.833,1,0.989,0.994
1,500,200,40,0,0,0,0.675,1,0.806
2,50,200,50,0.955,0.955,0.955,0.944,0.944,0.944
1,100,500,10,0.5,1,0.667,1,0.925,0.961
1,50,200,40,0.889,0.889,0.889,0.909,0.909,0.909
2,1000,500,30,0,0,0,0.63,1,0.773
2,20,5000,30,0.993,0.962,0.977,0.984,0.997,0.99
2,500,50000,50,0,0,0,0.501,1,0.668
1,1000,1000,20,0,0,0,0.774,1,0.873
1,1000,50000,10,0,0,0,0.896,1,0.945
1,1000,10000,30,0,0,0,0.707,1,0.828
2,20,5000,50,0.994,1,0.997,1,0.994,0.997
1,100,10000,40,0.705,0.971,0.817,0.976,0.74,0.842
1,20,5000,30,1,1,1,1,1,1
1,20,5000,10,0.958,1,0.979,1,0.994,0.997
2,100,50000,5,0.166,0.247,0.199,0.96,0.935,0.947
2,100,5000,40,0.903,0.998,0.948,0.998,0.921,0.958
2,1000,5000,40,0,0,0,0.599,1,0.749
1,50,5000,40,0.993,1,0.996,1,0.995,0.997
2,100,5000,10,0.597,1,0.748,1,0.926,0.962
1,50,1000,40,0.809,0.507,0.623,0.758,0.928,0.835
1,20,5000,5,1,1,1,1,1,1
1,100,1000,20,0.575,0.523,0.548,0.85,0.875,0.862
2,500,5000,20,0,0,0,0.791,1,0.883
2,500,50000,10,0,0,0,0.901,1,0.948
2,20,200,10,0.429,1,0.6,1,0.892,0.943
2,500,5000,40,0,0,0,0.603,1,0.752
1,100,5000,5,0.628,1,0.771,1,0.961,0.98
1,500,200,30,0,0,0,0.625,1,0.769
1,20,50000,5,0.988,1,0.994,1,0.999,1
1,500,50000,30,0,0,0,0.696,1,0.82
2,1000,500,50,0,0,0,0.5,1,0.667
1,500,200,5,0.111,1,0.2,1,0.795,0.886
2,500,5000,5,0,0,0,0.949,1,0.974
1,20,200,10,0.8,1,0.889,1,0.972,0.986
1,50,10000,5,0.248,0.556,0.342,0.975,0.911,0.942
1,100,500,40,0.667,0.903,0.767,0.938,0.763,0.841
1,20,200,30,1,1,1,1,1,1
1,1000,500,50,0,0,0,0.5,1,0.667
1,50,200,50,0.818,1,0.9,1,0.818,0.9
2,1000,50000,5,0,0,0,0.954,1,0.976
2,1000,500,20,0,0,0,0.8,1,0.889
1,1000,200,30,0,0,0,0.65,1,0.788
1,500,1000,20,0,0,0,0.785,1,0.879
2,50,5000,5,0.624,0.964,0.757,0.998,0.965,0.981
2,1000,1000,50,0,0,0,0.503,1,0.669
1,100,10000,30,0.672,0.962,0.791,0.979,0.794,0.877
1,500,5000,40,0,0,0,0.639,1,0.78
2,100,500,10,0.102,0.909,0.183,0.5,0.011,0.022
2,20,50000,10,0.997,1,0.998,1,1,1
2,20,5000,20,0.995,1,0.997,1,0.999,0.999
1,100,50000,30,0.804,0.954,0.873,0.979,0.901,0.938
1,50,10000,20,0.857,0.992,0.919,0.998,0.957,0.977
1,100,1000,5,0.467,1,0.636,1,0.954,0.976
2,20,50000,40,0.998,1,0.999,1,0.999,0.999
1,50,5000,20,0.756,1,0.861,1,0.918,0.957
2,50,500,40,1,0.964,0.982,0.984,1,0.992
1,50,1000,10,0.774,1,0.873,1,0.955,0.977
2,500,50000,30,0,0,0,0.689,1,0.816
2,500,50000,20,0,0,0,0.795,1,0.886
1,20,10000,40,1,1,1,1,1,1
2,50,1000,50,0.959,0.967,0.963,0.949,0.938,0.943
2,20,1000,50,1,0.886,0.939,0.888,1,0.941
2,20,1000,10,0.75,1,0.857,1,0.97,0.985
2,100,5000,20,0.944,0.585,0.722,0.901,0.991,0.944
2,100,500,50,0.933,0.757,0.836,0.85,0.962,0.903
2,20,200,20,1,1,1,1,1,1
2,1000,200,20,0.714,0.714,0.714,0.939,0.939,0.939
1,20,500,50,0.978,1,0.989,1,0.978,0.989
2,500,1000,50,0,0,0,0.518,1,0.682
2,1000,500,5,0,0,0,0.98,1,0.99
1,500,5000,20,0,0,0,0.82,1,0.901
2,1000,10000,40,0,0,0,0.601,1,0.751
2,1000,5000,5,0,0,0,0.942,1,0.97
2,500,200,50,0.556,1,0.714,1,0.2,0.333
1,50,500,50,0.857,1,0.923,1,0.854,0.921
1,500,1000,10,0,0,0,0.887,1,0.94
2,20,1000,40,0.892,1,0.943,1,0.929,0.963
1,1000,5000,5,0,0,0,0.961,1,0.98
2,1000,10000,10,0,0,0,0.908,1,0.952
1,500,500,5,0,0,0,0.99,1,0.995
2,100,10000,20,0.756,1,0.861,1,0.914,0.955
2,500,500,10,0,0,0,0.89,1,0.942
2,500,10000,10,0,0,0,0.91,1,0.953
1,500,50000,10,0,0,0,0.902,1,0.948
2,50,10000,20,0.853,0.987,0.915,0.996,0.953,0.974
1,50,500,40,0.93,1,0.964,1,0.94,0.969
1,1000,1000,30,0,0,0,0.697,1,0.822
2,1000,50000,50,0,0,0,0.492,1,0.66
1,500,10000,10,0,0,0,0.903,1,0.949
2,50,500,10,1,0.5,0.667,0.936,1,0.967
2,100,10000,10,0.672,0.957,0.79,0.994,0.939,0.966
2,50,5000,40,0.907,1,0.951,1,0.93,0.964
2,1000,500,10,0,0,0,0.94,1,0.969
1,1000,200,10,1,0.4,0.571,0.921,1,0.959
1,100,10000,20,0.95,1,0.974,1,0.988,0.994
1,1000,10000,20,0,0,0,0.805,1,0.892
1,50,50000,10,0.991,1,0.995,1,0.999,0.999
1,1000,500,10,0,0,0,0.95,1,0.974
2,1000,10000,20,0,0,0,0.809,1,0.895
2,100,200,10,0.3,0.75,0.429,0.967,0.806,0.879
1,20,1000,10,1,1,1,1,1,1
