FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.92,0.964,0.941,0.959,0.91,0.934
2,100,50000,40,0.998,0.998,0.998,0.998,0.999,0.999
1,50,200,20,0.9,0.581,0.706,0.908,0.985,0.945
1,20,10000,10,0.994,1.0,0.997,1.0,0.999,1.0
1,20,5000,20,0.991,1.0,0.996,1.0,0.998,0.999
1,1000,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
1,500,500,40,0.976,0.959,0.967,0.97,0.983,0.976
2,20,10000,40,0.995,0.996,0.996,0.998,0.997,0.997
2,1000,10000,30,1.0,0.989,0.994,0.995,1.0,0.998
2,1000,50000,40,0.999,0.998,0.998,0.998,0.999,0.999
2,100,5000,30,0.991,0.997,0.994,0.999,0.996,0.997
2,50,500,50,0.928,0.976,0.952,0.972,0.916,0.943
2,500,5000,50,0.997,0.996,0.996,0.995,0.997,0.996
2,500,200,30,0.75,0.894,0.816,0.952,0.877,0.913
2,20,5000,40,0.996,0.988,0.992,0.992,0.998,0.995
1,100,10000,10,0.991,1.0,0.996,1.0,0.999,1.0
1,500,200,50,0.928,0.928,0.928,0.946,0.946,0.946
2,50,200,5,1.0,0.444,0.615,0.968,1.0,0.984
1,500,200,20,0.909,0.323,0.476,0.86,0.992,0.921
2,500,50000,40,0.999,0.998,0.998,0.998,0.999,0.999
1,500,1000,5,1.0,0.536,0.698,0.983,1.0,0.992
1,20,500,30,0.921,0.744,0.823,0.893,0.971,0.931
2,1000,50000,30,0.999,0.999,0.999,0.999,1.0,1.0
1,100,50000,40,1.0,1.0,1.0,1.0,1.0,1.0
2,100,10000,50,0.997,0.997,0.997,0.997,0.997,0.997
2,500,50000,5,1.0,0.985,0.992,0.999,1.0,1.0
1,1000,500,5,0.833,0.2,0.323,0.949,0.997,0.973
1,1000,10000,5,0.978,0.952,0.965,0.998,0.999,0.998
2,100,5000,50,0.993,0.998,0.995,0.997,0.993,0.995
1,1000,500,20,0.894,1.0,0.944,1.0,0.968,0.984
2,20,50000,5,0.986,0.951,0.968,0.997,0.999,0.998
1,100,5000,40,0.996,1.0,0.998,1.0,0.997,0.999
2,500,1000,5,0.792,0.594,0.679,0.983,0.993,0.988
2,20,10000,20,0.992,0.993,0.992,0.998,0.998,0.998
2,1000,5000,30,0.999,0.984,0.992,0.994,1.0,0.997
1,100,50000,20,0.999,1.0,0.999,1.0,1.0,1.0
1,100,50000,10,0.999,1.0,1.0,1.0,1.0,1.0
1,50,10000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,20,1000,50,0.956,1.0,0.977,1.0,0.956,0.978
1,500,10000,5,0.981,0.961,0.971,0.998,0.999,0.999
1,1000,5000,40,0.995,1.0,0.997,1.0,0.996,0.998
1,20,10000,5,0.974,0.944,0.959,0.997,0.999,0.998
1,100,500,5,1.0,0.231,0.375,0.949,1.0,0.974
2,50,1000,20,0.974,0.98,0.977,0.995,0.994,0.995
2,20,1000,30,0.955,0.966,0.96,0.983,0.978,0.98
2,20,10000,30,0.991,0.992,0.992,0.997,0.996,0.997
2,500,500,5,1.0,0.095,0.174,0.952,1.0,0.976
2,20,50000,20,0.997,0.998,0.997,1.0,0.999,0.999
1,1000,1000,50,0.946,1.0,0.972,1.0,0.942,0.97
1,1000,200,40,0.75,0.966,0.844,0.976,0.814,0.888
1,500,500,10,0.882,0.577,0.698,0.971,0.995,0.983
1,500,5000,5,0.97,0.916,0.942,0.995,0.998,0.997
1,20,200,5,1.0,0.25,0.4,0.962,1.0,0.981
1,50,1000,30,0.989,0.992,0.991,0.996,0.994,0.995
1,50,50000,50,0.999,1.0,1.0,1.0,0.999,1.0
2,50,500,5,0.667,0.182,0.286,0.977,0.997,0.987
1,1000,5000,30,0.995,1.0,0.997,1.0,0.998,0.999
1,100,200,40,0.852,0.981,0.912,0.99,0.917,0.952
2,20,10000,50,0.996,0.995,0.995,0.995,0.995,0.995
2,100,200,50,0.851,0.988,0.914,0.985,0.825,0.898
2,100,50000,30,0.998,0.998,0.998,0.999,0.999,0.999
1,50,1000,50,0.976,0.99,0.983,0.99,0.974,0.982
1,500,200,10,0.875,0.875,0.875,0.986,0.986,0.986
