FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.889,0.941,0.914,0.955,0.913,0.933
2,100,50000,40,1,0.998,0.999,0.999,1,0.999
1,50,200,20,0,0,0,0.85,1,0.919
1,20,10000,10,0.192,1,0.322,1,0.566,0.723
1,20,5000,20,0,0,0,0.793,1,0.884
1,1000,50000,40,0.885,1,0.939,1,0.913,0.954
1,500,500,40,0.385,1,0.556,0,0,0
2,20,10000,40,1,1,1,1,1,1
2,1000,10000,30,1,1,1,1,1,1
2,1000,50000,40,1,1,1,1,1,1
2,100,5000,30,1,1,1,1,1,1
2,50,500,50,0.978,0.863,0.917,0.863,0.978,0.917
2,500,5000,50,1,1,1,1,1,1
2,500,200,30,0,0,0,0.825,1,0.904
2,20,5000,40,1,1,1,1,1,1
1,100,10000,10,0.653,0.894,0.755,0.986,0.941,0.963
1,500,200,50,0.619,0.765,0.684,0.789,0.652,0.714
2,50,200,5,0,0,0,0.875,1,0.933
1,500,200,20,0,0,0,0.875,1,0.933
2,500,50000,40,0,0,0,0.603,1,0.752
1,500,1000,5,0,0,0,0.933,1,0.966
1,20,500,30,0.577,0.6,0.588,0.857,0.845,0.851
2,1000,50000,30,1,1,1,1,1,1
1,100,50000,40,0.856,0.983,0.915,0.988,0.89,0.936
2,100,10000,50,0.999,0.994,0.996,0.994,0.999,0.996
2,500,50000,5,1,1,1,1,1,1
1,1000,500,5,0,0,0,0.938,1,0.968
1,1000,10000,5,0.129,1,0.228,1,0.651,0.789
2,100,5000,50,0.989,0.987,0.988,0.988,0.99,0.989
1,1000,500,20,0.621,0.75,0.679,0.91,0.847,0.878
2,20,50000,5,1,1,1,1,1,1
1,100,5000,40,0,0,0,0.581,1,0.735
2,500,1000,5,0.429,1,0.6,1,0.977,0.989
2,20,10000,20,0.937,0.956,0.946,0.99,0.985,0.987
2,1000,5000,30,0.997,0.997,0.997,0.998,0.998,0.998
1,100,50000,20,0.197,1,0.33,0,0,0
1,100,50000,10,0,0,0,0.902,1,0.948
1,50,10000,50,0.905,1,0.95,1,0.885,0.939
1,20,1000,50,0.929,0.958,0.943,0.957,0.928,0.942
1,500,10000,5,0.051,1,0.096,0,0,0
1,1000,5000,40,0.955,0.992,0.973,0.995,0.971,0.983
1,20,10000,5,0.753,0.83,0.789,0.991,0.986,0.989
1,100,500,5,0.125,0.5,0.2,0.989,0.926,0.956
2,50,1000,20,0.974,1,0.987,1,0.994,0.997
2,20,1000,30,1,1,1,1,1,1
2,20,10000,30,1,1,1,1,1,1
2,500,500,5,1,1,1,1,1,1
2,20,50000,20,0.885,0.715,0.791,0.93,0.976,0.953
1,1000,1000,50,0.768,0.905,0.831,0.901,0.76,0.825
1,1000,200,40,0.786,0.786,0.786,0.885,0.885,0.885
1,500,500,10,0.455,0.833,0.588,0.973,0.857,0.911
1,500,5000,5,0.335,0.964,0.498,0.998,0.884,0.937
1,20,200,5,0,0,0,0.95,1,0.974
1,50,1000,30,0,0,0,0.682,1,0.811
1,50,50000,50,0.785,0.976,0.87,0.969,0.738,0.838
2,50,500,5,1,0.833,0.909,0.989,1,0.994
1,1000,5000,30,0.815,0.913,0.861,0.958,0.906,0.932
1,100,200,40,0.55,1,0.71,1,0.69,0.816
2,20,10000,50,1,1,1,1,1,1
2,100,200,50,0.85,0.944,0.895,0.95,0.864,0.905
2,100,50000,30,0,0,0,0.703,1,0.826
1,50,1000,50,0.841,0.968,0.9,0.965,0.828,0.891
1,500,200,10,0.417,0.833,0.556,0.964,0.794,0.871
2,50,1000,40,1,1,1,1,1,1
2,50,1000,5,0.917,0.917,0.917,0.994,0.994,0.994
2,20,500,40,1,0.919,0.958,0.952,1,0.975
1,20,5000,50,0.721,0.733,0.727,0.733,0.721,0.727
2,20,500,30,1,1,1,1,1,1
1,20,10000,30,0.743,0.941,0.83,0.974,0.87,0.919
1,20,50000,30,0.805,0.915,0.856,0.962,0.906,0.933
2,20,200,30,1,0.818,0.9,0.935,1,0.967
1,1000,10000,50,0.506,1,0.672,0,0,0
2,100,50000,50,0.499,1,0.666,0,0,0
1,1000,50000,20,0,0,0,0.793,1,0.885
1,100,200,30,0,0,0,0.75,1,0.857
2,50,50000,50,0,0,0,0.506,1,0.672
1,100,5000,10,0.519,0.979,0.679,0.997,0.899,0.946
1,1000,500,40,0,0,0,0.604,1,0.753
1,1000,200,50,0.55,1,0.71,0,0,0
2,500,10000,20,0.198,1,0.33,0,0,0
1,100,5000,30,0.919,0.925,0.922,0.969,0.966,0.968
2,1000,200,10,0.5,1,0.667,1,0.889,0.941
2,1000,1000,40,0.988,0.977,0.982,0.979,0.989,0.984
2,100,1000,30,1,1,1,1,1,1
1,500,5000,50,0.886,1,0.94,1,0.879,0.935
2,1000,50000,10,1,1,1,1,1,1
2,50,200,40,0.947,0.947,0.947,0.952,0.952,0.952
2,100,1000,10,0.552,1,0.711,1,0.926,0.962
2,50,1000,30,0.761,0.857,0.806,0.926,0.868,0.896
1,1000,10000,10,0,0,0,0.898,1,0.946
2,1000,200,5,0,0,0,0.975,1,0.987
1,500,500,30,0.622,1,0.767,1,0.75,0.857
2,20,500,10,0.615,0.889,0.727,0.988,0.943,0.965
1,20,500,5,0.062,1,0.118,0,0,0
2,50,1000,10,0.955,0.913,0.933,0.988,0.994,0.991
1,1000,5000,50,0.978,1,0.989,1,0.976,0.988
2,50,200,10,1,0.333,0.5,0.949,1,0.974
1,100,50000,5,0.377,1,0.548,1,0.92,0.958
1,20,200,20,0,0,0,0.6,1,0.75
1,500,1000,40,0,0,0,0.578,1,0.732
1,500,5000,30,0,0,0,0.688,1,0.815
2,500,500,40,0.771,0.964,0.857,0.984,0.882,0.93
1,50,5000,5,0.415,0.931,0.574,0.998,0.956,0.976
1,50,200,5,0,0,0,0.95,1,0.974
2,1000,200,30,0,0,0,0.725,1,0.841
2,100,1000,5,1,1,1,1,1,1
1,20,1000,40,0,0,0,0.542,1,0.703
2,1000,5000,10,0,0,0,0.902,1,0.949
1,1000,1000,10,0,0,0,0.911,1,0.953
2,500,200,5,0,0,0,0.975,1,0.987
2,1000,500,40,1,0.943,0.971,0.968,1,0.984
2,100,50000,10,1,1,1,1,1,1
2,20,200,40,0.952,1,0.976,1,0.95,0.974
2,100,200,20,1,0.667,0.8,0.912,1,0.954
1,20,10000,20,0.339,0.96,0.502,0.985,0.582,0.732
1,20,50000,40,0.993,0.673,0.803,0.82,0.997,0.9
2,500,5000,10,0.989,0.948,0.968,0.994,0.999,0.997
2,100,200,30,1,0.923,0.96,0.964,1,0.982
2,50,50000,10,0.991,0.99,0.991,0.999,0.999,0.999
2,20,10000,10,0,0,0,0.899,1,0.947
1,1000,50000,5,0.049,1,0.094,0,0,0
2,500,10000,40,1,1,1,1,1,1
1,1000,5000,10,0,0,0,0.9,1,0.947
1,20,50000,50,0.777,1,0.874,1,0.718,0.836
1,500,10000,50,0,0,0,0.499,1,0.666
1,20,1000,5,0.1,0.4,0.16,0.961,0.802,0.874
1,50,50000,5,0.309,0.333,0.321,0.965,0.961,0.963
2,500,1000,20,0,0,0,0.811,1,0.896
1,1000,200,20,0,0,0,0.8,1,0.889
2,50,10000,30,0,0,0,0.702,1,0.825
1,50,200,10,0.179,1,0.304,1,0.03,0.059
1,1000,1000,40,0.8,0.693,0.743,0.8,0.876,0.836
1,50,50000,30,0.62,1,0.765,1,0.742,0.852
1,500,5000,10,0.649,0.791,0.713,0.972,0.945,0.958
2,500,200,20,0,0,0,0.85,1,0.919
2,100,500,30,0.958,0.852,0.902,0.944,0.986,0.965
1,1000,200,5,0,0,0,1,0.975,0.987
2,1000,1000,10,1,0.929,0.963,0.994,1,0.997
1,50,500,10,0.75,0.333,0.462,0.935,0.989,0.961
2,100,500,40,0.966,1,0.982,1,0.985,0.993
1,100,50000,50,0.956,0.973,0.964,0.973,0.956,0.964
1,50,10000,10,0.337,0.931,0.495,0.991,0.805,0.888
1,20,50000,10,0.267,0.717,0.39,0.962,0.786,0.866
2,20,50000,30,1,1,1,1,1,1
2,50,10000,10,1,1,1,1,1,1
2,50,200,30,1,1,1,1,1,1
2,100,10000,40,0.997,0.992,0.995,0.995,0.998,0.997
2,20,5000,5,0.771,0.86,0.813,0.993,0.987,0.99
2,500,200,10,0,0,0,0.8,1,0.889
2,50,5000,30,1,0.996,0.998,0.999,1,0.999
1,1000,50000,30,0.307,1,0.47,0,0,0
1,500,50000,40,0.404,1,0.575,0,0,0
2,100,10000,5,0.838,0.976,0.902,0.999,0.991,0.995
2,100,1000,50,0.989,0.871,0.926,0.874,0.989,0.928
1,1000,50000,50,0,0,0,0.503,1,0.669
1,50,5000,50,0.918,0.945,0.931,0.945,0.918,0.932
2,500,10000,50,0,0,0,0.49,1,0.658
1,50,500,20,0.367,1,0.537,1,0.486,0.655
1,50,5000,30,0.823,0.986,0.897,0.994,0.913,0.952
1,500,1000,30,0,0,0,0.728,1,0.842
1,100,500,30,0.655,0.76,0.704,0.91,0.859,0.884
2,1000,10000,5,0,0,0,0.953,1,0.976
1,100,500,50,0.738,1,0.85,1,0.646,0.785
1,20,1000,30,0.863,0.71,0.779,0.872,0.946,0.908
2,50,5000,10,1,1,1,1,1,1
1,100,1000,10,0.541,0.952,0.69,0.994,0.901,0.945
