FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.8,0.6,0.686,0.68,0.85,0.756
2,100,50000,40,1.0,0.999,1.0,0.999,1.0,1.0
1,50,200,20,0.0,0.0,0.0,0.825,1.0,0.904
1,20,10000,10,0.426,1.0,0.597,1.0,0.844,0.915
1,20,5000,20,0.719,0.994,0.835,0.999,0.916,0.956
1,1000,50000,40,0.999,1.0,1.0,1.0,0.999,1.0
1,500,500,40,0.74,0.974,0.841,0.98,0.79,0.875
2,20,10000,40,0.963,0.95,0.957,0.965,0.975,0.97
2,1000,10000,30,0.301,1.0,0.463,0.0,0.0,0.0
2,1000,50000,40,0.998,0.998,0.998,0.999,0.999,0.999
2,100,5000,30,0.997,0.92,0.957,0.963,0.998,0.98
2,50,500,50,0.889,0.2,0.327,0.605,0.98,0.748
2,500,5000,50,1.0,1.0,1.0,1.0,1.0,1.0
2,500,200,30,0.0,0.0,0.0,0.675,1.0,0.806
2,20,5000,40,0.396,1.0,0.567,0.0,0.0,0.0
1,100,10000,10,0.593,1.0,0.744,1.0,0.918,0.957
1,500,200,50,0.0,0.0,0.0,0.625,1.0,0.769
2,50,200,5,0.0,0.0,0.0,0.95,1.0,0.974
1,500,200,20,0.0,0.0,0.0,0.875,1.0,0.933
2,500,50000,40,0.989,1.0,0.994,1.0,0.993,0.996
1,500,1000,5,0.0,0.0,0.0,0.95,1.0,0.974
1,20,500,30,0.56,1.0,0.718,1.0,0.694,0.82
2,1000,50000,30,0.994,0.998,0.996,0.999,0.998,0.998
1,100,50000,40,0.994,1.0,0.997,1.0,0.996,0.998
2,100,10000,50,0.992,0.999,0.995,0.999,0.992,0.995
2,500,50000,5,0.968,0.989,0.979,0.999,0.998,0.999
1,1000,500,5,0.0,0.0,0.0,0.97,1.0,0.985
1,1000,10000,5,0.052,1.0,0.099,0.0,0.0,0.0
2,100,5000,50,1.0,0.952,0.976,0.957,1.0,0.978
1,1000,500,20,0.349,1.0,0.518,1.0,0.474,0.643
2,20,50000,5,0.623,1.0,0.768,1.0,0.968,0.984
1,100,5000,40,0.945,1.0,0.972,1.0,0.966,0.983
2,500,1000,5,0.0,0.0,0.0,0.94,1.0,0.969
2,20,10000,20,0.539,0.888,0.671,0.969,0.823,0.89
2,1000,5000,30,0.99,0.997,0.993,0.999,0.996,0.997
