FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,1000,200,50,0.5,1,0.667,0,0,0
2,100,50000,40,0.99,0.998,0.994,0.999,0.994,0.996
1,50,200,20,0,0,0,0.825,1,0.904
1,20,10000,10,0.944,1,0.971,1,0.993,0.997
1,20,5000,20,0,0,0,0.823,1,0.903
1,1000,50000,40,0.947,1,0.973,1,0.962,0.98
1,500,500,40,0,0,0,0.62,1,0.765
2,20,10000,40,0.975,0.974,0.974,0.982,0.983,0.982
2,1000,10000,30,0.301,1,0.463,0,0,0
2,1000,50000,40,0,0,0,0.611,1,0.758
2,100,5000,30,0,0,0,0.676,1,0.807
2,50,500,50,0.727,1,0.842,1,0.7,0.824
2,500,5000,50,0.976,0.998,0.987,0.998,0.976,0.987
2,500,200,30,0,0,0,0.675,1,0.806
2,20,5000,40,0.907,0.992,0.948,0.995,0.933,0.963
1,100,10000,10,0,0,0,0.893,1,0.944
1,500,200,50,0,0,0,0.625,1,0.769
2,50,200,5,0.05,1,0.095,0,0,0
1,500,200,20,0.385,1,0.556,1,0.771,0.871
2,500,50000,40,0,0,0,0.602,1,0.752
1,500,1000,5,0,0,0,0.949,1,0.974
1,20,500,30,0.903,1,0.949,1,0.958,0.979
2,1000,50000,30,0.987,0.999,0.993,1,0.994,0.997
1,100,50000,40,0.998,1,0.999,1,0.999,0.999
2,100,10000,50,0.988,0.994,0.991,0.994,0.987,0.991
2,500,50000,5,0.866,1,0.928,1,0.992,0.996
1,1000,500,5,0,0,0,0.97,1,0.985
1,1000,10000,5,0,0,0,0.948,1,0.973
2,100,5000,50,0.489,1,0.657,0,0,0
1,1000,500,20,0.22,1,0.361,0,0,0
2,20,50000,5,0.891,1,0.942,1,0.994,0.997
1,100,5000,40,0,0,0,0.632,1,0.775
2,500,1000,5,0,0,0,0.938,1,0.968
2,20,10000,20,0.941,0.982,0.961,0.996,0.986,0.991
2,1000,5000,30,0.993,1,0.997,1,0.997,0.999
1,100,50000,20,0.985,1,0.992,1,0.996,0.998
1,100,50000,10,0.816,1,0.899,1,0.975,0.988
1,50,10000,50,0.902,1,0.948,1,0.883,0.938
1,20,1000,50,0.45,1,0.621,0,0,0
1,500,10000,5,0,0,0,0.956,1,0.977
1,1000,5000,40,0,0,0,0.611,1,0.759
1,20,10000,5,0.643,1,0.783,1,0.973,0.986
1,100,500,5,0,0,0,0.95,1,0.974
2,50,1000,20,0.796,0.975,0.876,0.992,0.929,0.959
2,20,1000,30,0.317,1,0.481,0,0,0
2,20,10000,30,0,0,0,0.689,1,0.816
2,500,500,5,0,0,0,0.98,1,0.99
2,20,50000,20,0.938,0.984,0.961,0.996,0.983,0.989
1,1000,1000,50,0,0,0,0.462,1,0.632
1,1000,200,40,0,0,0,0.5,1,0.667
1,500,500,10,0,0,0,0.91,1,0.953
1,500,5000,5,0,0,0,0.934,1,0.966
1,20,200,5,0,0,0,0.923,0.973,0.947
1,50,1000,30,0.533,1,0.696,1,0.682,0.811
1,50,50000,50,0.73,1,0.844,1,0.632,0.775
2,50,500,5,0,0,0,0.97,1,0.985
1,1000,5000,30,0,0,0,0.717,1,0.835
1,100,200,40,0,0,0,0.625,1,0.769
2,20,10000,50,0.74,0.812,0.774,0.798,0.722,0.758
2,100,200,50,0.575,1,0.73,0,0,0
2,100,50000,30,0.994,0.996,0.995,0.998,0.997,0.998
1,50,1000,50,0.913,1,0.955,1,0.914,0.955
1,500,200,10,0,0,0,0.825,1,0.904
2,50,1000,40,0.974,0.961,0.967,0.976,0.984,0.98
2,50,1000,5,0.333,0.2,0.25,0.954,0.976,0.965
2,20,500,40,0,0,0,0.511,1,0.676
1,20,5000,50,0.5,1,0.667,0,0,0
2,20,500,30,0.483,1,0.652,1,0.563,0.721
1,20,10000,30,0,0,0,0.686,1,0.814
1,20,50000,30,0.882,1,0.937,1,0.941,0.97
2,20,200,30,0,0,0,0.6,1,0.75
1,1000,10000,50,0,0,0,0.484,1,0.653
2,100,50000,50,0.994,0.997,0.995,0.997,0.994,0.995
1,1000,50000,20,0,0,0,0.802,1,0.89
1,100,200,30,0,0,0,0.575,1,0.73
2,50,50000,50,0.994,0.995,0.995,0.995,0.994,0.995
1,100,5000,10,0.82,1,0.901,1,0.974,0.987
1,1000,500,40,0,0,0,0.65,1,0.788
1,1000,200,50,0.45,1,0.621,0,0,0
2,500,10000,20,0,0,0,0.81,1,0.895
1,100,5000,30,0.874,1,0.932,1,0.935,0.966
2,1000,200,10,0,0,0,0.925,1,0.961
